"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"NR_TURNO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"TP_ABRANGENCIA";"SG_UF";"SG_UE";"NM_UE";"CD_MUNICIPIO";"NM_MUNICIPIO";"NR_ZONA";"CD_CARGO";"DS_CARGO";"QT_APTOS";"QT_SECOES";"QT_SECOES_AGREGADAS";"QT_APTOS_TOT";"QT_SECOES_TOT";"QT_COMPARECIMENTO";"QT_ABSTENCOES";"ST_VOTO_EM_TRANSITO";"QT_VOTOS";"QT_VOTOS_CONCORRENTES";"QT_VOTOS_VALIDOS";"QT_VOTOS_NOMINAIS_VALIDOS";"QT_TOTAL_VOTOS_LEG_VALIDOS";"QT_VOTOS_LEGENDA_VALIDOS";"QT_VOTOS_NOMINAIS_CONVR_LEG";"QT_TOTAL_VOTOS_ANULADOS";"QT_VOTOS_NOMINAIS_ANULADOS";"QT_VOTOS_LEGENDA_ANULADOS";"QT_TOTAL_VOTOS_ANUL_SUBJUD";"QT_VOTOS_NOMINAIS_ANUL_SUBJUD";"QT_VOTOS_LEGENDA_ANUL_SUBJUD";"QT_VOTOS_BRANCOS";"QT_TOTAL_VOTOS_NULOS";"QT_VOTOS_NULOS";"QT_VOTOS_NULO_TECNICO";"QT_VOTOS_ANULADOS_APU_SEP";"HH_ULTIMA_TOTALIZACAO";"DT_ULTIMA_TOTALIZACAO"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"AC";"AC";"ACRE";"01007";"BUJARI";"9";"3";"Governador";"9947";"35";"3";"9947";"35";"7532";"2415";"N";"7532";"7029";"7029";"7029";"0";"";"";"0";"";"";"0";"";"";"82";"421";"421";"0";"0";"21:24:47";"02/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"AC";"AC";"ACRE";"01007";"BUJARI";"9";"5";"Senador";"9947";"35";"3";"9947";"35";"7532";"2415";"N";"7532";"6765";"6765";"6765";"0";"";"";"0";"";"";"0";"";"";"211";"556";"556";"0";"0";"21:24:47";"02/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"AC";"AC";"ACRE";"01015";"CAPIXABA";"2";"3";"Governador";"7836";"31";"11";"7836";"31";"6166";"1670";"N";"6166";"5794";"5794";"5794";"0";"";"";"0";"";"";"0";"";"";"63";"309";"309";"0";"0";"19:55:45";"02/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"AC";"AC";"ACRE";"01074";"CRUZEIRO DO SUL";"4";"7";"Deputado Estadual";"59174";"229";"5";"59174";"229";"46647";"12527";"N";"46647";"45180";"45167";"42980";"2187";"";"";"0";"";"";"13";"";"";"856";"611";"593";"18";"0";"20:40:56";"02/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"AC";"AC";"ACRE";"01570";"ASSIS BRASIL";"6";"7";"Deputado Estadual";"6389";"23";"2";"6389";"23";"5018";"1371";"N";"5018";"4916";"4907";"4486";"421";"";"";"0";"";"";"9";"";"";"41";"61";"60";"1";"0";"20:17:39";"02/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"AC";"AC";"ACRE";"01570";"ASSIS BRASIL";"6";"6";"Deputado Federal";"6389";"23";"2";"6389";"23";"5018";"1371";"N";"5018";"4917";"4917";"4698";"219";"";"";"0";"";"";"0";"";"";"44";"57";"57";"0";"0";"20:17:39";"02/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"AC";"AC";"ACRE";"01007";"BUJARI";"9";"6";"Deputado Federal";"9947";"35";"3";"9947";"35";"7532";"2415";"N";"7532";"7210";"7210";"6904";"306";"";"";"0";"";"";"0";"";"";"166";"156";"154";"2";"0";"21:24:47";"02/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"AC";"AC";"ACRE";"01570";"ASSIS BRASIL";"6";"3";"Governador";"6389";"23";"2";"6389";"23";"5018";"1371";"N";"5018";"4761";"4761";"4761";"0";"";"";"0";"";"";"0";"";"";"24";"233";"233";"0";"0";"20:17:39";"02/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"AC";"AC";"ACRE";"01007";"BUJARI";"9";"7";"Deputado Estadual";"9947";"35";"3";"9947";"35";"7532";"2415";"N";"7532";"7286";"7241";"6683";"558";"";"";"0";"";"";"45";"";"";"127";"119";"104";"15";"0";"21:24:47";"02/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"AC";"AC";"ACRE";"01015";"CAPIXABA";"2";"5";"Senador";"7836";"31";"11";"7836";"31";"6166";"1670";"N";"6166";"5740";"5740";"5740";"0";"";"";"0";"";"";"0";"";"";"109";"317";"317";"0";"0";"19:55:45";"02/10/2022"
