"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"NR_TURNO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"TP_ABRANGENCIA";"SG_UF";"SG_UE";"NM_UE";"CD_MUNICIPIO";"NM_MUNICIPIO";"NR_ZONA";"CD_CARGO";"DS_CARGO";"QT_APTOS";"QT_SECOES";"QT_SECOES_AGREGADAS";"QT_APTOS_TOT";"QT_SECOES_TOT";"QT_COMPARECIMENTO";"QT_ABSTENCOES";"ST_VOTO_EM_TRANSITO";"QT_VOTOS";"QT_VOTOS_CONCORRENTES";"QT_VOTOS_VALIDOS";"QT_VOTOS_NOMINAIS_VALIDOS";"QT_TOTAL_VOTOS_LEG_VALIDOS";"QT_VOTOS_LEGENDA_VALIDOS";"QT_VOTOS_NOMINAIS_CONVR_LEG";"QT_TOTAL_VOTOS_ANULADOS";"QT_VOTOS_NOMINAIS_ANULADOS";"QT_VOTOS_LEGENDA_ANULADOS";"QT_TOTAL_VOTOS_ANUL_SUBJUD";"QT_VOTOS_NOMINAIS_ANUL_SUBJUD";"QT_VOTOS_LEGENDA_ANUL_SUBJUD";"QT_VOTOS_BRANCOS";"QT_TOTAL_VOTOS_NULOS";"QT_VOTOS_NULOS";"QT_VOTOS_NULO_TECNICO";"QT_VOTOS_ANULADOS_APU_SEP";"HH_ULTIMA_TOTALIZACAO";"DT_ULTIMA_TOTALIZACAO"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"AL";"AL";"ALAGOAS";"27006";"PARIPUEIRA";"17";"3";"Governador";"11062";"29";"0";"11062";"29";"8867";"2195";"N";"8867";"7378";"7378";"7378";"0";"";"";"0";"";"";"0";"";"";"498";"991";"991";"0";"0";"21:27:02";"02/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"AL";"AL";"ALAGOAS";"27006";"PARIPUEIRA";"17";"5";"Senador";"11062";"29";"0";"11062";"29";"8867";"2195";"N";"8867";"7364";"7364";"7364";"0";"";"";"0";"";"";"0";"";"";"605";"898";"757";"141";"0";"21:27:02";"02/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"AL";"AL";"ALAGOAS";"27111";"BARRA DE SÃO MIGUEL";"26";"7";"Deputado Estadual";"7322";"21";"1";"7322";"21";"6127";"1195";"N";"6127";"5827";"5763";"5502";"261";"";"";"0";"";"";"64";"";"";"161";"139";"139";"0";"0";"20:24:56";"02/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"AL";"AL";"ALAGOAS";"27197";"BOCA DA MATA";"48";"7";"Deputado Estadual";"19574";"55";"0";"19574";"55";"14167";"5407";"N";"14167";"13029";"12967";"11974";"993";"";"";"0";"";"";"62";"";"";"758";"380";"380";"0";"0";"20:28:59";"02/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"AL";"AL";"ALAGOAS";"27251";"CAJUEIRO";"5";"6";"Deputado Federal";"14550";"42";"0";"14550";"42";"10505";"4045";"N";"10505";"9850";"9841";"9476";"365";"";"";"0";"";"";"9";"";"";"369";"286";"280";"6";"0";"20:57:37";"02/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"AL";"AL";"ALAGOAS";"27316";"CANAPI";"27";"7";"Deputado Estadual";"13628";"41";"0";"13628";"41";"9667";"3961";"N";"9667";"9171";"9131";"8246";"885";"";"";"0";"";"";"40";"";"";"253";"243";"243";"0";"0";"21:17:16";"02/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"AL";"AL";"ALAGOAS";"27375";"CHÃ PRETA";"28";"7";"Deputado Estadual";"6090";"18";"0";"6090";"18";"4611";"1479";"N";"4611";"4402";"4390";"4010";"380";"";"";"0";"";"";"12";"";"";"82";"127";"126";"1";"0";"21:29:30";"02/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"AL";"AL";"ALAGOAS";"27006";"PARIPUEIRA";"17";"6";"Deputado Federal";"11062";"29";"0";"11062";"29";"8867";"2195";"N";"8867";"8181";"8171";"7971";"200";"";"";"0";"";"";"10";"";"";"401";"285";"279";"6";"0";"21:27:02";"02/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"AL";"AL";"ALAGOAS";"27057";"ARAPIRACA";"22";"6";"Deputado Federal";"96714";"249";"6";"96714";"249";"77623";"19091";"N";"77623";"71811";"71665";"69299";"2366";"";"";"0";"";"";"146";"";"";"3419";"2393";"2373";"20";"0";"23:07:32";"02/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"AL";"AL";"ALAGOAS";"27006";"PARIPUEIRA";"17";"7";"Deputado Estadual";"11062";"29";"0";"11062";"29";"8867";"2195";"N";"8867";"8473";"8444";"8011";"433";"";"";"0";"";"";"29";"";"";"223";"171";"171";"0";"0";"21:27:02";"02/10/2022"
