"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"NR_TURNO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"TP_ABRANGENCIA";"SG_UF";"SG_UE";"NM_UE";"CD_MUNICIPIO";"NM_MUNICIPIO";"NR_ZONA";"CD_CARGO";"DS_CARGO";"QT_APTOS";"QT_SECOES";"QT_SECOES_AGREGADAS";"QT_APTOS_TOT";"QT_SECOES_TOT";"QT_COMPARECIMENTO";"QT_ABSTENCOES";"ST_VOTO_EM_TRANSITO";"QT_VOTOS";"QT_VOTOS_CONCORRENTES";"QT_VOTOS_VALIDOS";"QT_VOTOS_NOMINAIS_VALIDOS";"QT_TOTAL_VOTOS_LEG_VALIDOS";"QT_VOTOS_LEGENDA_VALIDOS";"QT_VOTOS_NOMINAIS_CONVR_LEG";"QT_TOTAL_VOTOS_ANULADOS";"QT_VOTOS_NOMINAIS_ANULADOS";"QT_VOTOS_LEGENDA_ANULADOS";"QT_TOTAL_VOTOS_ANUL_SUBJUD";"QT_VOTOS_NOMINAIS_ANUL_SUBJUD";"QT_VOTOS_LEGENDA_ANUL_SUBJUD";"QT_VOTOS_BRANCOS";"QT_TOTAL_VOTOS_NULOS";"QT_VOTOS_NULOS";"QT_VOTOS_NULO_TECNICO";"QT_VOTOS_ANULADOS_APU_SEP";"HH_ULTIMA_TOTALIZACAO";"DT_ULTIMA_TOTALIZACAO"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"AM";"AM";"AMAZONAS";"02003";"APUÍ";"67";"3";"Governador";"11692";"30";"15";"11692";"30";"7940";"3752";"N";"7940";"7284";"7280";"7280";"0";"";"";"0";"";"";"4";"";"";"189";"467";"467";"0";"0";"22:53:20";"02/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"AM";"AM";"AMAZONAS";"02003";"APUÍ";"67";"5";"Senador";"11692";"30";"15";"11692";"30";"7940";"3752";"N";"7940";"7172";"7169";"7169";"0";"";"";"0";"";"";"3";"";"";"301";"467";"467";"0";"0";"22:53:20";"02/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"AM";"AM";"AMAZONAS";"02275";"CODAJÁS";"7";"3";"Governador";"16463";"50";"0";"16463";"50";"11906";"4557";"N";"11906";"11121";"11121";"11121";"0";"";"";"0";"";"";"0";"";"";"63";"722";"722";"0";"0";"21:34:51";"02/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"AM";"AM";"AMAZONAS";"02437";"ITAPIRANGA";"24";"7";"Deputado Estadual";"8345";"26";"3";"8345";"26";"6453";"1892";"N";"6453";"6219";"6198";"6012";"186";"";"";"0";"";"";"21";"";"";"69";"165";"165";"0";"0";"23:04:15";"02/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"AM";"AM";"AMAZONAS";"02003";"APUÍ";"67";"6";"Deputado Federal";"11692";"30";"15";"11692";"30";"7940";"3752";"N";"7940";"7475";"7468";"7211";"257";"";"";"0";"";"";"7";"";"";"299";"166";"162";"4";"0";"22:53:20";"02/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"AM";"AM";"AMAZONAS";"02011";"NOVO AIRÃO";"34";"6";"Deputado Federal";"11479";"34";"2";"11479";"34";"8872";"2607";"N";"8872";"8675";"8640";"8397";"243";"";"";"0";"";"";"35";"";"";"112";"85";"85";"0";"0";"01:47:52";"03/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"AM";"AM";"AMAZONAS";"02054";"ATALAIA DO NORTE";"42";"6";"Deputado Federal";"8961";"29";"8";"8961";"29";"6194";"2767";"N";"6194";"6062";"6059";"5791";"268";"";"";"0";"";"";"3";"";"";"60";"72";"71";"1";"0";"21:19:13";"02/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"AM";"AM";"AMAZONAS";"02003";"APUÍ";"67";"7";"Deputado Estadual";"11692";"30";"15";"11692";"30";"7940";"3752";"N";"7940";"7425";"7425";"7038";"387";"";"";"0";"";"";"0";"";"";"286";"229";"229";"0";"0";"22:53:20";"02/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"AM";"AM";"AMAZONAS";"02011";"NOVO AIRÃO";"34";"7";"Deputado Estadual";"11479";"34";"2";"11479";"34";"8872";"2607";"N";"8872";"8535";"8506";"8188";"318";"";"";"0";"";"";"29";"";"";"86";"251";"251";"0";"0";"01:47:52";"03/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"AM";"AM";"AMAZONAS";"02011";"NOVO AIRÃO";"34";"3";"Governador";"11479";"34";"2";"11479";"34";"8872";"2607";"N";"8872";"8268";"8267";"8267";"0";"";"";"0";"";"";"1";"";"";"76";"528";"528";"0";"0";"01:47:52";"03/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"AM";"AM";"AMAZONAS";"02011";"NOVO AIRÃO";"34";"5";"Senador";"11479";"34";"2";"11479";"34";"8872";"2607";"N";"8872";"8251";"8229";"8229";"0";"";"";"0";"";"";"22";"";"";"146";"475";"475";"0";"0";"01:47:52";"03/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"AM";"AM";"AMAZONAS";"02020";"GUAJARÁ";"45";"3";"Governador";"11815";"34";"2";"11815";"34";"7977";"3838";"N";"7977";"7237";"7236";"7236";"0";"";"";"0";"";"";"1";"";"";"128";"612";"612";"0";"0";"20:10:39";"02/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"AM";"AM";"AMAZONAS";"02020";"GUAJARÁ";"45";"5";"Senador";"11815";"34";"2";"11815";"34";"7977";"3838";"N";"7977";"7205";"7200";"7200";"0";"";"";"0";"";"";"5";"";"";"191";"581";"581";"0";"0";"20:10:39";"02/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"AM";"AM";"AMAZONAS";"02151";"BOCA DO ACRE";"14";"3";"Governador";"23007";"66";"7";"23007";"66";"16251";"6756";"N";"16251";"14460";"14459";"14459";"0";"";"";"0";"";"";"1";"";"";"307";"1484";"1484";"0";"0";"20:26:37";"02/10/2022"
