"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"NR_TURNO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"TP_ABRANGENCIA";"SG_UF";"SG_UE";"NM_UE";"CD_MUNICIPIO";"NM_MUNICIPIO";"NR_ZONA";"CD_CARGO";"DS_CARGO";"QT_APTOS";"QT_SECOES";"QT_SECOES_AGREGADAS";"QT_APTOS_TOT";"QT_SECOES_TOT";"QT_COMPARECIMENTO";"QT_ABSTENCOES";"ST_VOTO_EM_TRANSITO";"QT_VOTOS";"QT_VOTOS_CONCORRENTES";"QT_VOTOS_VALIDOS";"QT_VOTOS_NOMINAIS_VALIDOS";"QT_TOTAL_VOTOS_LEG_VALIDOS";"QT_VOTOS_LEGENDA_VALIDOS";"QT_VOTOS_NOMINAIS_CONVR_LEG";"QT_TOTAL_VOTOS_ANULADOS";"QT_VOTOS_NOMINAIS_ANULADOS";"QT_VOTOS_LEGENDA_ANULADOS";"QT_TOTAL_VOTOS_ANUL_SUBJUD";"QT_VOTOS_NOMINAIS_ANUL_SUBJUD";"QT_VOTOS_LEGENDA_ANUL_SUBJUD";"QT_VOTOS_BRANCOS";"QT_TOTAL_VOTOS_NULOS";"QT_VOTOS_NULOS";"QT_VOTOS_NULO_TECNICO";"QT_VOTOS_ANULADOS_APU_SEP";"HH_ULTIMA_TOTALIZACAO";"DT_ULTIMA_TOTALIZACAO"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"AP";"AP";"AMAPÁ";"06009";"PRACUÚBA";"1";"3";"Governador";"3723";"15";"0";"3723";"15";"3079";"644";"N";"3079";"2924";"2924";"2924";"0";"";"";"0";"";"";"0";"";"";"20";"135";"135";"0";"0";"19:14:45";"02/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"AP";"AP";"AMAPÁ";"06009";"PRACUÚBA";"1";"5";"Senador";"3723";"15";"0";"3723";"15";"3079";"644";"N";"3079";"2957";"2939";"2939";"0";"";"";"0";"";"";"18";"";"";"23";"99";"99";"0";"0";"19:14:45";"02/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"AP";"AP";"AMAPÁ";"06009";"PRACUÚBA";"1";"6";"Deputado Federal";"3723";"15";"0";"3723";"15";"3079";"644";"N";"3079";"3037";"3036";"2987";"49";"";"";"0";"";"";"1";"";"";"11";"31";"31";"0";"0";"19:14:45";"02/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"AP";"AP";"AMAPÁ";"06017";"AMAPÁ";"1";"3";"Governador";"6853";"24";"1";"6853";"24";"5468";"1385";"N";"5468";"5135";"5131";"5131";"0";"";"";"0";"";"";"4";"";"";"48";"285";"285";"0";"0";"19:23:45";"02/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"AP";"AP";"AMAPÁ";"06025";"PORTO GRANDE";"12";"5";"Senador";"14174";"42";"4";"14174";"42";"10592";"3582";"N";"10592";"9854";"9746";"9746";"0";"";"";"0";"";"";"108";"";"";"172";"566";"566";"0";"0";"21:31:31";"02/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"AP";"AP";"AMAPÁ";"06025";"PORTO GRANDE";"12";"7";"Deputado Estadual";"14174";"42";"4";"14174";"42";"10592";"3582";"N";"10592";"10372";"10243";"9761";"482";"";"";"0";"";"";"129";"";"";"98";"122";"121";"1";"0";"21:31:31";"02/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"AP";"AP";"AMAPÁ";"06033";"CALÇOENE";"1";"3";"Governador";"8266";"28";"0";"8266";"28";"6254";"2012";"N";"6254";"5880";"5877";"5877";"0";"";"";"0";"";"";"3";"";"";"69";"305";"305";"0";"0";"19:55:52";"02/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"AP";"AP";"AMAPÁ";"06033";"CALÇOENE";"1";"6";"Deputado Federal";"8266";"28";"0";"8266";"28";"6254";"2012";"N";"6254";"6093";"6088";"5894";"194";"";"";"0";"";"";"5";"";"";"84";"77";"74";"3";"0";"19:55:52";"02/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"AP";"AP";"AMAPÁ";"06033";"CALÇOENE";"1";"7";"Deputado Estadual";"8266";"28";"0";"8266";"28";"6254";"2012";"N";"6254";"6136";"6032";"5693";"339";"";"";"0";"";"";"104";"";"";"78";"40";"39";"1";"0";"19:55:52";"02/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"AP";"AP";"AMAPÁ";"06041";"ITAUBAL";"10";"3";"Governador";"7331";"24";"2";"7331";"24";"5980";"1351";"N";"5980";"5647";"5631";"5631";"0";"";"";"0";"";"";"16";"";"";"21";"312";"312";"0";"0";"20:29:09";"02/10/2022"
