"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"NR_TURNO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"TP_ABRANGENCIA";"SG_UF";"SG_UE";"NM_UE";"CD_MUNICIPIO";"NM_MUNICIPIO";"NR_ZONA";"CD_CARGO";"DS_CARGO";"QT_APTOS";"QT_SECOES";"QT_SECOES_AGREGADAS";"QT_APTOS_TOT";"QT_SECOES_TOT";"QT_COMPARECIMENTO";"QT_ABSTENCOES";"ST_VOTO_EM_TRANSITO";"QT_VOTOS";"QT_VOTOS_CONCORRENTES";"QT_VOTOS_VALIDOS";"QT_VOTOS_NOMINAIS_VALIDOS";"QT_TOTAL_VOTOS_LEG_VALIDOS";"QT_VOTOS_LEGENDA_VALIDOS";"QT_VOTOS_NOMINAIS_CONVR_LEG";"QT_TOTAL_VOTOS_ANULADOS";"QT_VOTOS_NOMINAIS_ANULADOS";"QT_VOTOS_LEGENDA_ANULADOS";"QT_TOTAL_VOTOS_ANUL_SUBJUD";"QT_VOTOS_NOMINAIS_ANUL_SUBJUD";"QT_VOTOS_LEGENDA_ANUL_SUBJUD";"QT_VOTOS_BRANCOS";"QT_TOTAL_VOTOS_NULOS";"QT_VOTOS_NULOS";"QT_VOTOS_NULO_TECNICO";"QT_VOTOS_ANULADOS_APU_SEP";"HH_ULTIMA_TOTALIZACAO";"DT_ULTIMA_TOTALIZACAO"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"BA";"BA";"BAHIA";"30007";"LUÍS EDUARDO MAGALHÃES";"205";"3";"Governador";"69829";"205";"5";"69829";"205";"55077";"14752";"N";"55077";"51090";"51089";"51089";"0";"";"";"0";"";"";"1";"";"";"2082";"1905";"1905";"0";"0";"15:27:16";"10/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"BA";"BA";"BAHIA";"30007";"LUÍS EDUARDO MAGALHÃES";"205";"5";"Senador";"69829";"205";"5";"69829";"205";"55077";"14752";"N";"55077";"47278";"47278";"47278";"0";"";"";"0";"";"";"0";"";"";"3993";"3806";"3799";"7";"0";"15:27:16";"10/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"BA";"BA";"BAHIA";"30007";"LUÍS EDUARDO MAGALHÃES";"205";"6";"Deputado Federal";"69829";"205";"5";"69829";"205";"55077";"14752";"N";"55077";"50091";"50085";"48216";"1869";"";"";"0";"";"";"6";"";"";"3341";"1645";"1630";"15";"0";"15:27:16";"10/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"BA";"BA";"BAHIA";"30058";"EUNÁPOLIS";"203";"7";"Deputado Estadual";"55206";"178";"24";"55206";"178";"43427";"11779";"N";"43427";"39326";"39324";"36255";"3069";"";"";"0";"";"";"2";"";"";"2229";"1872";"1816";"56";"0";"15:27:28";"10/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"BA";"BA";"BAHIA";"30660";"IUIU";"175";"7";"Deputado Estadual";"8855";"26";"2";"8855";"26";"6763";"2092";"N";"6763";"6489";"6489";"5797";"692";"";"";"0";"";"";"0";"";"";"160";"114";"114";"0";"0";"15:27:22";"10/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"BA";"BA";"BAHIA";"30678";"JABORANDI";"61";"3";"Governador";"9111";"31";"0";"9111";"31";"7205";"1906";"N";"7205";"6540";"6540";"6540";"0";"";"";"0";"";"";"0";"";"";"245";"420";"420";"0";"0";"15:27:29";"10/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"BA";"BA";"BAHIA";"30694";"JUSSARI";"28";"6";"Deputado Federal";"5022";"21";"2";"5022";"21";"3487";"1535";"N";"3487";"3359";"3359";"3200";"159";"";"";"0";"";"";"0";"";"";"51";"77";"74";"3";"0";"15:27:19";"10/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"BA";"BA";"BAHIA";"30694";"JUSSARI";"28";"7";"Deputado Estadual";"5022";"21";"2";"5022";"21";"3487";"1535";"N";"3487";"3327";"3327";"2970";"357";"";"";"0";"";"";"0";"";"";"65";"95";"92";"3";"0";"15:27:19";"10/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"BA";"BA";"BAHIA";"30716";"AMÉRICA DOURADA";"199";"7";"Deputado Estadual";"13481";"42";"1";"13481";"42";"10145";"3336";"N";"10145";"9608";"9605";"8776";"829";"";"";"0";"";"";"3";"";"";"342";"195";"195";"0";"0";"15:27:16";"10/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"BA";"BA";"BAHIA";"30732";"ARATACA";"166";"7";"Deputado Estadual";"6290";"25";"16";"6290";"25";"4658";"1632";"N";"4658";"4438";"4438";"4029";"409";"";"";"0";"";"";"0";"";"";"110";"110";"109";"1";"0";"15:27:27";"10/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"BA";"BA";"BAHIA";"30813";"CAPELA DO ALTO ALEGRE";"196";"3";"Governador";"9814";"35";"1";"9814";"35";"7526";"2288";"N";"7526";"6803";"6803";"6803";"0";"";"";"0";"";"";"0";"";"";"222";"501";"501";"0";"0";"15:27:26";"10/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"BA";"BA";"BAHIA";"30830";"CAPIM GROSSO";"191";"6";"Deputado Federal";"24711";"73";"0";"24711";"73";"18919";"5792";"N";"18919";"16989";"16987";"16300";"687";"";"";"0";"";"";"2";"";"";"1034";"896";"892";"4";"0";"15:27:26";"10/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"BA";"BA";"BAHIA";"30872";"DIAS D ÁVILA";"186";"6";"Deputado Federal";"53694";"156";"5";"53694";"156";"42236";"11458";"N";"42236";"36141";"36123";"34540";"1583";"";"";"0";"";"";"18";"";"";"3360";"2735";"2702";"33";"0";"15:27:31";"10/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"BA";"BA";"BAHIA";"30899";"FÁTIMA";"82";"6";"Deputado Federal";"15924";"48";"0";"15924";"48";"12288";"3636";"N";"12288";"11453";"11453";"10989";"464";"";"";"0";"";"";"0";"";"";"514";"321";"318";"3";"0";"15:27:34";"10/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"BA";"BA";"BAHIA";"30970";"HELIÓPOLIS";"110";"6";"Deputado Federal";"11822";"39";"1";"11822";"39";"9432";"2390";"N";"9432";"8971";"8971";"8690";"281";"";"";"0";"";"";"0";"";"";"307";"154";"154";"0";"0";"15:27:30";"10/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"BA";"BA";"BAHIA";"33014";"ABAÍRA";"105";"7";"Deputado Estadual";"7181";"28";"2";"7181";"28";"5460";"1721";"N";"5460";"4846";"4845";"4211";"634";"";"";"0";"";"";"1";"";"";"258";"356";"356";"0";"0";"15:27:24";"10/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"BA";"BA";"BAHIA";"33030";"ABARÉ";"158";"6";"Deputado Federal";"14575";"44";"0";"14575";"44";"11951";"2624";"N";"11951";"11680";"11680";"11213";"467";"";"";"0";"";"";"0";"";"";"118";"153";"152";"1";"0";"15:27:25";"10/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"BA";"BA";"BAHIA";"33030";"ABARÉ";"158";"7";"Deputado Estadual";"14575";"44";"0";"14575";"44";"11951";"2624";"N";"11951";"11554";"11554";"10348";"1206";"";"";"0";"";"";"0";"";"";"200";"197";"193";"4";"0";"15:27:25";"10/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"BA";"BA";"BAHIA";"33065";"ADUSTINA";"52";"3";"Governador";"11850";"43";"1";"11850";"43";"9681";"2169";"N";"9681";"8897";"8897";"8897";"0";"";"";"0";"";"";"0";"";"";"247";"537";"537";"0";"0";"15:27:17";"10/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"BA";"BA";"BAHIA";"33065";"ADUSTINA";"52";"7";"Deputado Estadual";"11850";"43";"1";"11850";"43";"9681";"2169";"N";"9681";"8966";"8966";"7863";"1103";"";"";"0";"";"";"0";"";"";"439";"276";"275";"1";"0";"15:27:17";"10/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"BA";"BA";"BAHIA";"30007";"LUÍS EDUARDO MAGALHÃES";"205";"7";"Deputado Estadual";"69829";"205";"5";"69829";"205";"55077";"14752";"N";"55077";"49876";"49866";"46753";"3113";"";"";"0";"";"";"10";"";"";"3526";"1675";"1647";"28";"0";"15:27:16";"10/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"BA";"BA";"BAHIA";"30058";"EUNÁPOLIS";"188";"3";"Governador";"26344";"81";"4";"26344";"81";"20048";"6296";"N";"20048";"17939";"17937";"17937";"0";"";"";"0";"";"";"2";"";"";"778";"1331";"1331";"0";"0";"15:27:28";"10/10/2022"
