"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"NR_TURNO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"TP_ABRANGENCIA";"SG_UF";"SG_UE";"NM_UE";"CD_MUNICIPIO";"NM_MUNICIPIO";"NR_ZONA";"CD_CARGO";"DS_CARGO";"QT_APTOS";"QT_SECOES";"QT_SECOES_AGREGADAS";"QT_APTOS_TOT";"QT_SECOES_TOT";"QT_COMPARECIMENTO";"QT_ABSTENCOES";"ST_VOTO_EM_TRANSITO";"QT_VOTOS";"QT_VOTOS_CONCORRENTES";"QT_VOTOS_VALIDOS";"QT_VOTOS_NOMINAIS_VALIDOS";"QT_TOTAL_VOTOS_LEG_VALIDOS";"QT_VOTOS_LEGENDA_VALIDOS";"QT_VOTOS_NOMINAIS_CONVR_LEG";"QT_TOTAL_VOTOS_ANULADOS";"QT_VOTOS_NOMINAIS_ANULADOS";"QT_VOTOS_LEGENDA_ANULADOS";"QT_TOTAL_VOTOS_ANUL_SUBJUD";"QT_VOTOS_NOMINAIS_ANUL_SUBJUD";"QT_VOTOS_LEGENDA_ANUL_SUBJUD";"QT_VOTOS_BRANCOS";"QT_TOTAL_VOTOS_NULOS";"QT_VOTOS_NULOS";"QT_VOTOS_NULO_TECNICO";"QT_VOTOS_ANULADOS_APU_SEP";"HH_ULTIMA_TOTALIZACAO";"DT_ULTIMA_TOTALIZACAO"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"2";"545";"ELEIÇÃO GERAL FEDERAL 2022";"30/10/2022";"F";"PA";"BR";"BRASIL";"04278";"BELÉM";"98";"1";"Presidente";"99979";"249";"26";"99979";"249";"84263";"15716";"N";"84263";"81335";"81335";"81335";"0";"";"";"0";"";"";"0";"";"";"1073";"1855";"1855";"0";"0";"19:30:01";"30/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"2";"545";"ELEIÇÃO GERAL FEDERAL 2022";"30/10/2022";"F";"PA";"BR";"BRASIL";"04685";"QUATIPURU";"33";"1";"Presidente";"10183";"34";"2";"10183";"34";"7114";"3069";"N";"7114";"6962";"6962";"6962";"0";"";"";"0";"";"";"0";"";"";"59";"93";"93";"0";"0";"18:58:14";"30/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"2";"545";"ELEIÇÃO GERAL FEDERAL 2022";"30/10/2022";"F";"MS";"BR";"BRASIL";"91790";"MUNDO NOVO";"33";"1";"Presidente";"14213";"48";"0";"14213";"48";"10837";"3376";"N";"10837";"10271";"10271";"10271";"0";"";"";"0";"";"";"0";"";"";"108";"458";"458";"0";"0";"17:50:44";"30/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"2";"545";"ELEIÇÃO GERAL FEDERAL 2022";"30/10/2022";"F";"RJ";"BR";"BRASIL";"58076";"BARRA MANSA";"94";"1";"Presidente";"47005";"153";"25";"47005";"153";"37512";"9493";"N";"37512";"35819";"35819";"35819";"0";"";"";"0";"";"";"0";"";"";"558";"1135";"1135";"0";"0";"19:13:25";"30/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"2";"545";"ELEIÇÃO GERAL FEDERAL 2022";"30/10/2022";"F";"CE";"BR";"BRASIL";"13064";"GRAÇA";"79";"1";"Presidente";"13405";"47";"1";"13405";"47";"9669";"3736";"N";"9669";"9322";"9322";"9322";"0";"";"";"0";"";"";"0";"";"";"81";"266";"266";"0";"0";"19:16:42";"30/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"2";"545";"ELEIÇÃO GERAL FEDERAL 2022";"30/10/2022";"F";"BA";"BR";"BRASIL";"36757";"LAFAIETE COUTINHO";"23";"1";"Presidente";"3905";"13";"1";"3905";"13";"3329";"576";"N";"3329";"3170";"3170";"3170";"0";"";"";"0";"";"";"0";"";"";"34";"125";"125";"0";"0";"18:27:12";"30/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"2";"545";"ELEIÇÃO GERAL FEDERAL 2022";"30/10/2022";"F";"PI";"BR";"BRASIL";"10006";"BRASILEIRA";"11";"1";"Presidente";"7620";"26";"8";"7620";"26";"5869";"1751";"N";"5869";"5728";"5728";"5728";"0";"";"";"0";"";"";"0";"";"";"38";"103";"103";"0";"0";"19:17:58";"30/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"2";"545";"ELEIÇÃO GERAL FEDERAL 2022";"30/10/2022";"F";"PI";"BR";"BRASIL";"12378";"FRANCISCO MACEDO";"68";"1";"Presidente";"2687";"11";"4";"2687";"11";"2211";"476";"N";"2211";"2142";"2142";"2142";"0";"";"";"0";"";"";"0";"";"";"19";"50";"50";"0";"0";"19:15:46";"30/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"2";"545";"ELEIÇÃO GERAL FEDERAL 2022";"30/10/2022";"F";"PI";"BR";"BRASIL";"11258";"MIGUEL LEÃO";"58";"1";"Presidente";"1604";"6";"2";"1604";"6";"1261";"343";"N";"1261";"1234";"1234";"1234";"0";"";"";"0";"";"";"0";"";"";"9";"18";"18";"0";"0";"17:33:27";"30/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"2";"545";"ELEIÇÃO GERAL FEDERAL 2022";"30/10/2022";"F";"MG";"BR";"BRASIL";"50334";"POÇO FUNDO";"164";"1";"Presidente";"13003";"37";"0";"13003";"37";"10734";"2269";"N";"10734";"10273";"10273";"10273";"0";"";"";"0";"";"";"0";"";"";"206";"255";"255";"0";"0";"18:23:42";"30/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"2";"545";"ELEIÇÃO GERAL FEDERAL 2022";"30/10/2022";"F";"PE";"BR";"BRASIL";"23973";"CUMARU";"91";"1";"Presidente";"15315";"50";"6";"15315";"50";"11796";"3519";"N";"11796";"11041";"11041";"11041";"0";"";"";"0";"";"";"0";"";"";"142";"613";"613";"0";"0";"18:48:26";"30/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"2";"545";"ELEIÇÃO GERAL FEDERAL 2022";"30/10/2022";"F";"PE";"BR";"BRASIL";"25275";"PRIMAVERA";"31";"1";"Presidente";"11428";"32";"0";"11428";"32";"8780";"2648";"N";"8780";"8203";"8203";"8203";"0";"";"";"0";"";"";"0";"";"";"129";"448";"448";"0";"0";"18:57:19";"30/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"2";"545";"ELEIÇÃO GERAL FEDERAL 2022";"30/10/2022";"F";"PE";"BR";"BRASIL";"25593";"SÃO BENTO DO UNA";"52";"1";"Presidente";"36547";"107";"4";"36547";"107";"27973";"8574";"N";"27973";"26280";"26280";"26280";"0";"";"";"0";"";"";"0";"";"";"326";"1367";"1367";"0";"0";"18:49:31";"30/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"2";"545";"ELEIÇÃO GERAL FEDERAL 2022";"30/10/2022";"F";"PE";"BR";"BRASIL";"25755";"SÃO VICENTE FÉRRER";"90";"1";"Presidente";"14155";"42";"0";"14155";"42";"11373";"2782";"N";"11373";"10639";"10639";"10639";"0";"";"";"0";"";"";"0";"";"";"118";"616";"616";"0";"0";"18:58:27";"30/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"2";"545";"ELEIÇÃO GERAL FEDERAL 2022";"30/10/2022";"F";"BA";"BR";"BRASIL";"38431";"RODELAS";"158";"1";"Presidente";"7344";"21";"0";"7344";"21";"5966";"1378";"N";"5966";"5768";"5768";"5768";"0";"";"";"0";"";"";"0";"";"";"38";"160";"160";"0";"0";"19:12:41";"30/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"2";"545";"ELEIÇÃO GERAL FEDERAL 2022";"30/10/2022";"F";"SC";"BR";"BRASIL";"81396";"ILHOTA";"64";"1";"Presidente";"11346";"33";"6";"11346";"33";"9313";"2033";"N";"9313";"8977";"8977";"8977";"0";"";"";"0";"";"";"0";"";"";"114";"222";"222";"0";"0";"19:17:13";"30/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"2";"545";"ELEIÇÃO GERAL FEDERAL 2022";"30/10/2022";"F";"PI";"BR";"BRASIL";"12173";"SOCORRO DO PIAUÍ";"37";"1";"Presidente";"4171";"15";"8";"4171";"15";"3089";"1082";"N";"3089";"2978";"2978";"2978";"0";"";"";"0";"";"";"0";"";"";"27";"84";"84";"0";"0";"19:26:48";"30/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"2";"545";"ELEIÇÃO GERAL FEDERAL 2022";"30/10/2022";"F";"AL";"BR";"BRASIL";"28894";"CRAÍBAS";"31";"1";"Presidente";"19310";"52";"0";"19310";"52";"15701";"3609";"N";"15701";"14556";"14556";"14556";"0";"";"";"0";"";"";"0";"";"";"202";"943";"943";"0";"0";"18:46:08";"30/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"2";"545";"ELEIÇÃO GERAL FEDERAL 2022";"30/10/2022";"F";"PB";"BR";"BRASIL";"19682";"TENÓRIO";"56";"1";"Presidente";"2884";"10";"0";"2884";"10";"2385";"499";"N";"2385";"2222";"2222";"2222";"0";"";"";"0";"";"";"0";"";"";"23";"140";"140";"0";"0";"17:28:17";"30/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"2";"545";"ELEIÇÃO GERAL FEDERAL 2022";"30/10/2022";"F";"ES";"BR";"BRASIL";"56430";"FUNDÃO";"14";"1";"Presidente";"14179";"43";"0";"14179";"43";"11197";"2982";"N";"11197";"10554";"10554";"10554";"0";"";"";"0";"";"";"0";"";"";"163";"480";"480";"0";"0";"18:37:30";"30/10/2022"
