"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"NR_TURNO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"TP_ABRANGENCIA";"SG_UF";"SG_UE";"NM_UE";"CD_MUNICIPIO";"NM_MUNICIPIO";"NR_ZONA";"CD_CARGO";"DS_CARGO";"QT_APTOS";"QT_SECOES";"QT_SECOES_AGREGADAS";"QT_APTOS_TOT";"QT_SECOES_TOT";"QT_COMPARECIMENTO";"QT_ABSTENCOES";"ST_VOTO_EM_TRANSITO";"QT_VOTOS";"QT_VOTOS_CONCORRENTES";"QT_VOTOS_VALIDOS";"QT_VOTOS_NOMINAIS_VALIDOS";"QT_TOTAL_VOTOS_LEG_VALIDOS";"QT_VOTOS_LEGENDA_VALIDOS";"QT_VOTOS_NOMINAIS_CONVR_LEG";"QT_TOTAL_VOTOS_ANULADOS";"QT_VOTOS_NOMINAIS_ANULADOS";"QT_VOTOS_LEGENDA_ANULADOS";"QT_TOTAL_VOTOS_ANUL_SUBJUD";"QT_VOTOS_NOMINAIS_ANUL_SUBJUD";"QT_VOTOS_LEGENDA_ANUL_SUBJUD";"QT_VOTOS_BRANCOS";"QT_TOTAL_VOTOS_NULOS";"QT_VOTOS_NULOS";"QT_VOTOS_NULO_TECNICO";"QT_VOTOS_ANULADOS_APU_SEP";"HH_ULTIMA_TOTALIZACAO";"DT_ULTIMA_TOTALIZACAO"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"CE";"CE";"CEARÁ";"13005";"JIJOCA DE JERICOACOARA";"30";"3";"Governador";"18201";"59";"2";"18201";"59";"14881";"3320";"N";"14881";"13622";"13622";"13622";"0";"";"";"0";"";"";"0";"";"";"513";"746";"746";"0";"0";"14:29:18";"10/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"CE";"CE";"CEARÁ";"13005";"JIJOCA DE JERICOACOARA";"30";"5";"Senador";"18201";"59";"2";"18201";"59";"14881";"3320";"N";"14881";"12779";"12779";"12779";"0";"";"";"0";"";"";"0";"";"";"828";"1274";"1269";"5";"0";"14:29:18";"10/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"CE";"CE";"CEARÁ";"13005";"JIJOCA DE JERICOACOARA";"30";"6";"Deputado Federal";"18201";"59";"2";"18201";"59";"14881";"3320";"N";"14881";"13735";"13724";"13389";"335";"";"";"1";"";"";"10";"";"";"700";"446";"446";"0";"0";"09:59:36";"27/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"CE";"CE";"CEARÁ";"13005";"JIJOCA DE JERICOACOARA";"30";"7";"Deputado Estadual";"18201";"59";"2";"18201";"59";"14881";"3320";"N";"14881";"13573";"13561";"12628";"933";"";"";"0";"";"";"12";"";"";"804";"504";"493";"11";"0";"09:59:36";"27/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"CE";"CE";"CEARÁ";"13013";"ABAIARA";"26";"3";"Governador";"7206";"28";"3";"7206";"28";"5918";"1288";"N";"5918";"5270";"5270";"5270";"0";"";"";"0";"";"";"0";"";"";"334";"314";"314";"0";"0";"14:29:17";"10/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"CE";"CE";"CEARÁ";"13013";"ABAIARA";"26";"5";"Senador";"7206";"28";"3";"7206";"28";"5918";"1288";"N";"5918";"4937";"4937";"4937";"0";"";"";"0";"";"";"0";"";"";"413";"568";"566";"2";"0";"14:29:17";"10/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"CE";"CE";"CEARÁ";"13013";"ABAIARA";"26";"6";"Deputado Federal";"7206";"28";"3";"7206";"28";"5918";"1288";"N";"5918";"5404";"5400";"5144";"256";"";"";"0";"";"";"4";"";"";"330";"184";"184";"0";"0";"09:59:31";"27/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"CE";"CE";"CEARÁ";"13013";"ABAIARA";"26";"7";"Deputado Estadual";"7206";"28";"3";"7206";"28";"5918";"1288";"N";"5918";"5299";"5296";"4733";"563";"";"";"0";"";"";"3";"";"";"400";"219";"217";"2";"0";"09:59:31";"27/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"CE";"CE";"CEARÁ";"13021";"MADALENA";"63";"3";"Governador";"13794";"49";"3";"13794";"49";"11411";"2383";"N";"11411";"10824";"10824";"10824";"0";"";"";"0";"";"";"0";"";"";"191";"396";"396";"0";"0";"14:29:21";"10/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"CE";"CE";"CEARÁ";"13021";"MADALENA";"63";"5";"Senador";"13794";"49";"3";"13794";"49";"11411";"2383";"N";"11411";"10429";"10429";"10429";"0";"";"";"0";"";"";"0";"";"";"313";"669";"668";"1";"0";"14:29:21";"10/10/2022"
