"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"NR_TURNO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"TP_ABRANGENCIA";"SG_UF";"SG_UE";"NM_UE";"CD_MUNICIPIO";"NM_MUNICIPIO";"NR_ZONA";"CD_CARGO";"DS_CARGO";"QT_APTOS";"QT_SECOES";"QT_SECOES_AGREGADAS";"QT_APTOS_TOT";"QT_SECOES_TOT";"QT_COMPARECIMENTO";"QT_ABSTENCOES";"ST_VOTO_EM_TRANSITO";"QT_VOTOS";"QT_VOTOS_CONCORRENTES";"QT_VOTOS_VALIDOS";"QT_VOTOS_NOMINAIS_VALIDOS";"QT_TOTAL_VOTOS_LEG_VALIDOS";"QT_VOTOS_LEGENDA_VALIDOS";"QT_VOTOS_NOMINAIS_CONVR_LEG";"QT_TOTAL_VOTOS_ANULADOS";"QT_VOTOS_NOMINAIS_ANULADOS";"QT_VOTOS_LEGENDA_ANULADOS";"QT_TOTAL_VOTOS_ANUL_SUBJUD";"QT_VOTOS_NOMINAIS_ANUL_SUBJUD";"QT_VOTOS_LEGENDA_ANUL_SUBJUD";"QT_VOTOS_BRANCOS";"QT_TOTAL_VOTOS_NULOS";"QT_VOTOS_NULOS";"QT_VOTOS_NULO_TECNICO";"QT_VOTOS_ANULADOS_APU_SEP";"HH_ULTIMA_TOTALIZACAO";"DT_ULTIMA_TOTALIZACAO"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"DF";"DF";"DISTRITO FEDERAL";"97012";"BRASÍLIA";"1";"3";"Governador";"74803";"268";"13";"74803";"268";"61901";"12902";"N";"61901";"58245";"58225";"58225";"0";"";"";"0";"";"";"20";"";"";"1596";"2060";"2060";"0";"0";"20:35:54";"02/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"DF";"DF";"DISTRITO FEDERAL";"97012";"BRASÍLIA";"1";"5";"Senador";"74803";"268";"13";"74803";"268";"61901";"12902";"N";"61901";"56618";"56150";"56150";"0";"";"";"0";"";"";"468";"";"";"2776";"2507";"2507";"0";"0";"20:35:54";"02/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"DF";"DF";"DISTRITO FEDERAL";"97012";"BRASÍLIA";"1";"6";"Deputado Federal";"74803";"268";"13";"74803";"268";"61901";"12902";"N";"61901";"57492";"57346";"55051";"2295";"";"";"0";"";"";"146";"";"";"2516";"1893";"1548";"345";"0";"20:35:54";"02/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"DF";"DF";"DISTRITO FEDERAL";"97012";"BRASÍLIA";"1";"8";"Deputado Distrital";"74803";"268";"13";"74803";"268";"61901";"12902";"N";"61901";"57894";"57459";"54706";"2753";"";"";"0";"";"";"435";"";"";"2441";"1566";"1556";"10";"0";"20:35:54";"02/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"DF";"DF";"DISTRITO FEDERAL";"97012";"BRASÍLIA";"2";"3";"Governador";"113414";"316";"1";"113414";"316";"91226";"22188";"N";"91226";"83561";"83539";"83539";"0";"";"";"0";"";"";"22";"";"";"3157";"4508";"4508";"0";"0";"20:35:54";"02/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"DF";"DF";"DISTRITO FEDERAL";"97012";"BRASÍLIA";"2";"5";"Senador";"113414";"316";"1";"113414";"316";"91226";"22188";"N";"91226";"80247";"79724";"79724";"0";"";"";"0";"";"";"523";"";"";"6029";"4950";"4950";"0";"0";"20:35:54";"02/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"DF";"DF";"DISTRITO FEDERAL";"97012";"BRASÍLIA";"2";"8";"Deputado Distrital";"113414";"316";"1";"113414";"316";"91226";"22188";"N";"91226";"85196";"85004";"81100";"3904";"";"";"0";"";"";"192";"";"";"4034";"1996";"1980";"16";"0";"20:35:54";"02/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"DF";"DF";"DISTRITO FEDERAL";"97012";"BRASÍLIA";"3";"3";"Governador";"70713";"233";"13";"70713";"233";"59597";"11116";"N";"59597";"54753";"54747";"54747";"0";"";"";"0";"";"";"6";"";"";"1993";"2851";"2851";"0";"0";"20:35:54";"02/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"DF";"DF";"DISTRITO FEDERAL";"97012";"BRASÍLIA";"3";"5";"Senador";"70713";"233";"13";"70713";"233";"59597";"11116";"N";"59597";"52199";"51819";"51819";"0";"";"";"0";"";"";"380";"";"";"3887";"3511";"3511";"0";"0";"20:35:54";"02/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"DF";"DF";"DISTRITO FEDERAL";"97012";"BRASÍLIA";"3";"8";"Deputado Distrital";"70713";"233";"13";"70713";"233";"59597";"11116";"N";"59597";"54640";"53343";"51295";"2048";"";"";"0";"";"";"1297";"";"";"3048";"1909";"1884";"25";"0";"20:35:54";"02/10/2022"
