"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"NR_TURNO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"TP_ABRANGENCIA";"SG_UF";"SG_UE";"NM_UE";"CD_MUNICIPIO";"NM_MUNICIPIO";"NR_ZONA";"CD_CARGO";"DS_CARGO";"QT_APTOS";"QT_SECOES";"QT_SECOES_AGREGADAS";"QT_APTOS_TOT";"QT_SECOES_TOT";"QT_COMPARECIMENTO";"QT_ABSTENCOES";"ST_VOTO_EM_TRANSITO";"QT_VOTOS";"QT_VOTOS_CONCORRENTES";"QT_VOTOS_VALIDOS";"QT_VOTOS_NOMINAIS_VALIDOS";"QT_TOTAL_VOTOS_LEG_VALIDOS";"QT_VOTOS_LEGENDA_VALIDOS";"QT_VOTOS_NOMINAIS_CONVR_LEG";"QT_TOTAL_VOTOS_ANULADOS";"QT_VOTOS_NOMINAIS_ANULADOS";"QT_VOTOS_LEGENDA_ANULADOS";"QT_TOTAL_VOTOS_ANUL_SUBJUD";"QT_VOTOS_NOMINAIS_ANUL_SUBJUD";"QT_VOTOS_LEGENDA_ANUL_SUBJUD";"QT_VOTOS_BRANCOS";"QT_TOTAL_VOTOS_NULOS";"QT_VOTOS_NULOS";"QT_VOTOS_NULO_TECNICO";"QT_VOTOS_ANULADOS_APU_SEP";"HH_ULTIMA_TOTALIZACAO";"DT_ULTIMA_TOTALIZACAO"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"ES";"ES";"ESPÍRITO SANTO";"56006";"SÃO DOMINGOS DO NORTE";"46";"3";"Governador";"7586";"26";"0";"7586";"26";"6234";"1352";"N";"6234";"5695";"5695";"5695";"0";"";"";"0";"";"";"0";"";"";"193";"346";"346";"0";"0";"18:53:12";"02/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"ES";"ES";"ESPÍRITO SANTO";"56006";"SÃO DOMINGOS DO NORTE";"46";"5";"Senador";"7586";"26";"0";"7586";"26";"6234";"1352";"N";"6234";"5427";"5427";"5427";"0";"";"";"0";"";"";"0";"";"";"364";"443";"443";"0";"0";"18:53:12";"02/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"ES";"ES";"ESPÍRITO SANTO";"56006";"SÃO DOMINGOS DO NORTE";"46";"6";"Deputado Federal";"7586";"26";"0";"7586";"26";"6234";"1352";"N";"6234";"5803";"5803";"5630";"173";"";"";"0";"";"";"0";"";"";"289";"142";"140";"2";"0";"18:53:12";"02/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"ES";"ES";"ESPÍRITO SANTO";"56006";"SÃO DOMINGOS DO NORTE";"46";"7";"Deputado Estadual";"7586";"26";"0";"7586";"26";"6234";"1352";"N";"6234";"5835";"5834";"5479";"355";"";"";"0";"";"";"1";"";"";"266";"133";"125";"8";"0";"18:53:12";"02/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"ES";"ES";"ESPÍRITO SANTO";"56014";"AFONSO CLÁUDIO";"8";"3";"Governador";"25363";"74";"10";"25363";"74";"18641";"6722";"N";"18641";"16685";"16685";"16685";"0";"";"";"0";"";"";"0";"";"";"760";"1196";"1196";"0";"0";"19:28:56";"02/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"ES";"ES";"ESPÍRITO SANTO";"56014";"AFONSO CLÁUDIO";"8";"5";"Senador";"25363";"74";"10";"25363";"74";"18641";"6722";"N";"18641";"15903";"15903";"15903";"0";"";"";"0";"";"";"0";"";"";"1194";"1544";"1544";"0";"0";"19:28:56";"02/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"ES";"ES";"ESPÍRITO SANTO";"56014";"AFONSO CLÁUDIO";"8";"6";"Deputado Federal";"25363";"74";"10";"25363";"74";"18641";"6722";"N";"18641";"16795";"16794";"16187";"607";"";"";"0";"";"";"1";"";"";"1100";"746";"745";"1";"0";"19:28:56";"02/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"ES";"ES";"ESPÍRITO SANTO";"56014";"AFONSO CLÁUDIO";"8";"7";"Deputado Estadual";"25363";"74";"10";"25363";"74";"18641";"6722";"N";"18641";"16716";"16349";"15242";"1107";"";"";"0";"";"";"367";"";"";"1228";"697";"697";"0";"0";"19:28:56";"02/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"ES";"ES";"ESPÍRITO SANTO";"56022";"ÁGUA DOCE DO NORTE";"23";"3";"Governador";"10632";"45";"0";"10632";"45";"7910";"2722";"N";"7910";"7176";"7176";"7176";"0";"";"";"0";"";"";"0";"";"";"201";"533";"533";"0";"0";"20:01:22";"02/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"ES";"ES";"ESPÍRITO SANTO";"56022";"ÁGUA DOCE DO NORTE";"23";"5";"Senador";"10632";"45";"0";"10632";"45";"7910";"2722";"N";"7910";"6892";"6892";"6892";"0";"";"";"0";"";"";"0";"";"";"360";"658";"658";"0";"0";"20:01:22";"02/10/2022"
