"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"NR_TURNO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"TP_ABRANGENCIA";"SG_UF";"SG_UE";"NM_UE";"CD_MUNICIPIO";"NM_MUNICIPIO";"NR_ZONA";"CD_CARGO";"DS_CARGO";"QT_APTOS";"QT_SECOES";"QT_SECOES_AGREGADAS";"QT_APTOS_TOT";"QT_SECOES_TOT";"QT_COMPARECIMENTO";"QT_ABSTENCOES";"ST_VOTO_EM_TRANSITO";"QT_VOTOS";"QT_VOTOS_CONCORRENTES";"QT_VOTOS_VALIDOS";"QT_VOTOS_NOMINAIS_VALIDOS";"QT_TOTAL_VOTOS_LEG_VALIDOS";"QT_VOTOS_LEGENDA_VALIDOS";"QT_VOTOS_NOMINAIS_CONVR_LEG";"QT_TOTAL_VOTOS_ANULADOS";"QT_VOTOS_NOMINAIS_ANULADOS";"QT_VOTOS_LEGENDA_ANULADOS";"QT_TOTAL_VOTOS_ANUL_SUBJUD";"QT_VOTOS_NOMINAIS_ANUL_SUBJUD";"QT_VOTOS_LEGENDA_ANUL_SUBJUD";"QT_VOTOS_BRANCOS";"QT_TOTAL_VOTOS_NULOS";"QT_VOTOS_NULOS";"QT_VOTOS_NULO_TECNICO";"QT_VOTOS_ANULADOS_APU_SEP";"HH_ULTIMA_TOTALIZACAO";"DT_ULTIMA_TOTALIZACAO"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"GO";"GO";"GOIÁS";"92010";"ABADIÂNIA";"87";"3";"Governador";"10813";"34";"0";"10813";"34";"8672";"2141";"N";"8672";"8060";"8058";"8058";"0";"";"";"0";"";"";"2";"";"";"276";"336";"336";"0";"0";"20:05:36";"02/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"GO";"GO";"GOIÁS";"92010";"ABADIÂNIA";"87";"5";"Senador";"10813";"34";"0";"10813";"34";"8672";"2141";"N";"8672";"7543";"7543";"7543";"0";"";"";"0";"";"";"0";"";"";"506";"623";"623";"0";"0";"20:05:36";"02/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"GO";"GO";"GOIÁS";"92010";"ABADIÂNIA";"87";"6";"Deputado Federal";"10813";"34";"0";"10813";"34";"8672";"2141";"N";"8672";"8085";"8085";"7820";"265";"";"";"0";"";"";"0";"";"";"383";"204";"200";"4";"0";"20:05:36";"02/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"GO";"GO";"GOIÁS";"92010";"ABADIÂNIA";"87";"7";"Deputado Estadual";"10813";"34";"0";"10813";"34";"8672";"2141";"N";"8672";"8069";"7985";"7496";"489";"";"";"1";"";"";"83";"";"";"391";"212";"210";"2";"0";"20:05:36";"02/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"GO";"GO";"GOIÁS";"92029";"BONFINÓPOLIS";"141";"3";"Governador";"6721";"20";"0";"6721";"20";"5525";"1196";"N";"5525";"5194";"5194";"5194";"0";"";"";"0";"";"";"0";"";"";"110";"221";"221";"0";"0";"20:12:49";"02/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"GO";"GO";"GOIÁS";"92029";"BONFINÓPOLIS";"141";"5";"Senador";"6721";"20";"0";"6721";"20";"5525";"1196";"N";"5525";"4719";"4719";"4719";"0";"";"";"0";"";"";"0";"";"";"308";"498";"498";"0";"0";"20:12:49";"02/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"GO";"GO";"GOIÁS";"92029";"BONFINÓPOLIS";"141";"6";"Deputado Federal";"6721";"20";"0";"6721";"20";"5525";"1196";"N";"5525";"5199";"5197";"4989";"208";"";"";"0";"";"";"2";"";"";"165";"161";"158";"3";"0";"20:12:49";"02/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"GO";"GO";"GOIÁS";"92029";"BONFINÓPOLIS";"141";"7";"Deputado Estadual";"6721";"20";"0";"6721";"20";"5525";"1196";"N";"5525";"5137";"5075";"4738";"337";"";"";"0";"";"";"62";"";"";"195";"193";"192";"1";"0";"20:12:49";"02/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"GO";"GO";"GOIÁS";"92037";"ÁGUA LIMPA";"5";"3";"Governador";"2295";"8";"2";"2295";"8";"1830";"465";"N";"1830";"1769";"1769";"1769";"0";"";"";"0";"";"";"0";"";"";"27";"34";"34";"0";"0";"19:59:36";"02/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"GO";"GO";"GOIÁS";"92037";"ÁGUA LIMPA";"5";"5";"Senador";"2295";"8";"2";"2295";"8";"1830";"465";"N";"1830";"1658";"1658";"1658";"0";"";"";"0";"";"";"0";"";"";"73";"99";"99";"0";"0";"19:59:36";"02/10/2022"
