"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"NR_TURNO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"TP_ABRANGENCIA";"SG_UF";"SG_UE";"NM_UE";"CD_MUNICIPIO";"NM_MUNICIPIO";"NR_ZONA";"CD_CARGO";"DS_CARGO";"QT_APTOS";"QT_SECOES";"QT_SECOES_AGREGADAS";"QT_APTOS_TOT";"QT_SECOES_TOT";"QT_COMPARECIMENTO";"QT_ABSTENCOES";"ST_VOTO_EM_TRANSITO";"QT_VOTOS";"QT_VOTOS_CONCORRENTES";"QT_VOTOS_VALIDOS";"QT_VOTOS_NOMINAIS_VALIDOS";"QT_TOTAL_VOTOS_LEG_VALIDOS";"QT_VOTOS_LEGENDA_VALIDOS";"QT_VOTOS_NOMINAIS_CONVR_LEG";"QT_TOTAL_VOTOS_ANULADOS";"QT_VOTOS_NOMINAIS_ANULADOS";"QT_VOTOS_LEGENDA_ANULADOS";"QT_TOTAL_VOTOS_ANUL_SUBJUD";"QT_VOTOS_NOMINAIS_ANUL_SUBJUD";"QT_VOTOS_LEGENDA_ANUL_SUBJUD";"QT_VOTOS_BRANCOS";"QT_TOTAL_VOTOS_NULOS";"QT_VOTOS_NULOS";"QT_VOTOS_NULO_TECNICO";"QT_VOTOS_ANULADOS_APU_SEP";"HH_ULTIMA_TOTALIZACAO";"DT_ULTIMA_TOTALIZACAO"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"MA";"MA";"MARANHÃO";"07005";"ÁGUA DOCE DO MARANHÃO";"12";"3";"Governador";"12175";"40";"7";"12175";"40";"8313";"3862";"N";"8313";"7133";"7133";"7133";"0";"";"";"0";"";"";"0";"";"";"275";"905";"905";"0";"0";"22:33:42";"02/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"MA";"MA";"MARANHÃO";"07005";"ÁGUA DOCE DO MARANHÃO";"12";"5";"Senador";"12175";"40";"7";"12175";"40";"8313";"3862";"N";"8313";"7113";"7113";"7113";"0";"";"";"0";"";"";"0";"";"";"423";"777";"777";"0";"0";"22:33:42";"02/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"MA";"MA";"MARANHÃO";"07005";"ÁGUA DOCE DO MARANHÃO";"12";"6";"Deputado Federal";"12175";"40";"7";"12175";"40";"8313";"3862";"N";"8313";"7901";"7900";"7551";"349";"";"";"0";"";"";"1";"";"";"270";"142";"140";"2";"0";"22:33:42";"02/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"MA";"MA";"MARANHÃO";"07005";"ÁGUA DOCE DO MARANHÃO";"12";"7";"Deputado Estadual";"12175";"40";"7";"12175";"40";"8313";"3862";"N";"8313";"7792";"7790";"7082";"708";"";"";"0";"";"";"2";"";"";"336";"185";"183";"2";"0";"22:33:42";"02/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"MA";"MA";"MARANHÃO";"07013";"AFONSO CUNHA";"28";"3";"Governador";"7126";"25";"5";"7126";"25";"5426";"1700";"N";"5426";"4979";"4979";"4979";"0";"";"";"0";"";"";"0";"";"";"41";"406";"406";"0";"0";"00:11:40";"03/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"MA";"MA";"MARANHÃO";"07013";"AFONSO CUNHA";"28";"5";"Senador";"7126";"25";"5";"7126";"25";"5426";"1700";"N";"5426";"4965";"4965";"4965";"0";"";"";"0";"";"";"0";"";"";"119";"342";"342";"0";"0";"00:11:40";"03/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"MA";"MA";"MARANHÃO";"07013";"AFONSO CUNHA";"28";"6";"Deputado Federal";"7126";"25";"5";"7126";"25";"5426";"1700";"N";"5426";"5314";"5314";"5242";"72";"";"";"0";"";"";"0";"";"";"65";"47";"45";"2";"0";"00:11:40";"03/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"MA";"MA";"MARANHÃO";"07013";"AFONSO CUNHA";"28";"7";"Deputado Estadual";"7126";"25";"5";"7126";"25";"5426";"1700";"N";"5426";"5305";"5302";"5010";"292";"";"";"0";"";"";"3";"";"";"69";"52";"52";"0";"0";"00:11:40";"03/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"MA";"MA";"MARANHÃO";"07021";"ALTO ALEGRE DO MARANHÃO";"35";"3";"Governador";"19331";"61";"0";"19331";"61";"13783";"5548";"N";"13783";"11908";"11908";"11908";"0";"";"";"0";"";"";"0";"";"";"400";"1475";"1475";"0";"0";"22:25:56";"02/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"MA";"MA";"MARANHÃO";"07021";"ALTO ALEGRE DO MARANHÃO";"35";"5";"Senador";"19331";"61";"0";"19331";"61";"13783";"5548";"N";"13783";"11708";"11708";"11708";"0";"";"";"0";"";"";"0";"";"";"807";"1268";"1268";"0";"0";"22:25:56";"02/10/2022"
