"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"NR_TURNO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"TP_ABRANGENCIA";"SG_UF";"SG_UE";"NM_UE";"CD_MUNICIPIO";"NM_MUNICIPIO";"NR_ZONA";"CD_CARGO";"DS_CARGO";"QT_APTOS";"QT_SECOES";"QT_SECOES_AGREGADAS";"QT_APTOS_TOT";"QT_SECOES_TOT";"QT_COMPARECIMENTO";"QT_ABSTENCOES";"ST_VOTO_EM_TRANSITO";"QT_VOTOS";"QT_VOTOS_CONCORRENTES";"QT_VOTOS_VALIDOS";"QT_VOTOS_NOMINAIS_VALIDOS";"QT_TOTAL_VOTOS_LEG_VALIDOS";"QT_VOTOS_LEGENDA_VALIDOS";"QT_VOTOS_NOMINAIS_CONVR_LEG";"QT_TOTAL_VOTOS_ANULADOS";"QT_VOTOS_NOMINAIS_ANULADOS";"QT_VOTOS_LEGENDA_ANULADOS";"QT_TOTAL_VOTOS_ANUL_SUBJUD";"QT_VOTOS_NOMINAIS_ANUL_SUBJUD";"QT_VOTOS_LEGENDA_ANUL_SUBJUD";"QT_VOTOS_BRANCOS";"QT_TOTAL_VOTOS_NULOS";"QT_VOTOS_NULOS";"QT_VOTOS_NULO_TECNICO";"QT_VOTOS_ANULADOS_APU_SEP";"HH_ULTIMA_TOTALIZACAO";"DT_ULTIMA_TOTALIZACAO"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"MG";"MG";"MINAS GERAIS";"40002";"ALFREDO VASCONCELOS";"25";"3";"Governador";"5774";"18";"1";"5774";"18";"4896";"878";"N";"4896";"3987";"3986";"3986";"0";"";"";"0";"";"";"1";"";"";"283";"626";"626";"0";"0";"20:08:22";"02/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"MG";"MG";"MINAS GERAIS";"40002";"ALFREDO VASCONCELOS";"25";"5";"Senador";"5774";"18";"1";"5774";"18";"4896";"878";"N";"4896";"3784";"3784";"3784";"0";"";"";"0";"";"";"0";"";"";"408";"704";"703";"1";"0";"20:08:22";"02/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"MG";"MG";"MINAS GERAIS";"40002";"ALFREDO VASCONCELOS";"25";"6";"Deputado Federal";"5774";"18";"1";"5774";"18";"4896";"878";"N";"4896";"4192";"4186";"4063";"123";"";"";"0";"";"";"6";"";"";"349";"355";"354";"1";"0";"20:08:22";"02/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"MG";"MG";"MINAS GERAIS";"40002";"ALFREDO VASCONCELOS";"25";"7";"Deputado Estadual";"5774";"18";"1";"5774";"18";"4896";"878";"N";"4896";"4066";"4066";"3745";"321";"";"";"0";"";"";"0";"";"";"418";"412";"412";"0";"0";"20:08:22";"02/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"MG";"MG";"MINAS GERAIS";"40010";"ABADIA DOS DOURADOS";"96";"3";"Governador";"5706";"21";"2";"5706";"21";"4606";"1100";"N";"4606";"4001";"4000";"4000";"0";"";"";"0";"";"";"1";"";"";"195";"410";"410";"0";"0";"20:26:30";"02/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"MG";"MG";"MINAS GERAIS";"40010";"ABADIA DOS DOURADOS";"96";"5";"Senador";"5706";"21";"2";"5706";"21";"4606";"1100";"N";"4606";"3859";"3859";"3859";"0";"";"";"0";"";"";"0";"";"";"269";"478";"473";"5";"0";"20:26:30";"02/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"MG";"MG";"MINAS GERAIS";"40010";"ABADIA DOS DOURADOS";"96";"6";"Deputado Federal";"5706";"21";"2";"5706";"21";"4606";"1100";"N";"4606";"4271";"4267";"4153";"114";"";"";"0";"";"";"4";"";"";"179";"156";"155";"1";"0";"20:26:30";"02/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"MG";"MG";"MINAS GERAIS";"40010";"ABADIA DOS DOURADOS";"96";"7";"Deputado Estadual";"5706";"21";"2";"5706";"21";"4606";"1100";"N";"4606";"4204";"4203";"3923";"280";"";"";"0";"";"";"1";"";"";"213";"189";"189";"0";"0";"20:26:30";"02/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"MG";"MG";"MINAS GERAIS";"40029";"ARAPORÃ";"179";"3";"Governador";"6411";"17";"0";"6411";"17";"5071";"1340";"N";"5071";"4414";"4414";"4414";"0";"";"";"0";"";"";"0";"";"";"271";"386";"386";"0";"0";"19:34:15";"02/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"MG";"MG";"MINAS GERAIS";"40029";"ARAPORÃ";"179";"5";"Senador";"6411";"17";"0";"6411";"17";"5071";"1340";"N";"5071";"4268";"4268";"4268";"0";"";"";"0";"";"";"0";"";"";"357";"446";"429";"17";"0";"19:34:15";"02/10/2022"
