"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"NR_TURNO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"TP_ABRANGENCIA";"SG_UF";"SG_UE";"NM_UE";"CD_MUNICIPIO";"NM_MUNICIPIO";"NR_ZONA";"CD_CARGO";"DS_CARGO";"QT_APTOS";"QT_SECOES";"QT_SECOES_AGREGADAS";"QT_APTOS_TOT";"QT_SECOES_TOT";"QT_COMPARECIMENTO";"QT_ABSTENCOES";"ST_VOTO_EM_TRANSITO";"QT_VOTOS";"QT_VOTOS_CONCORRENTES";"QT_VOTOS_VALIDOS";"QT_VOTOS_NOMINAIS_VALIDOS";"QT_TOTAL_VOTOS_LEG_VALIDOS";"QT_VOTOS_LEGENDA_VALIDOS";"QT_VOTOS_NOMINAIS_CONVR_LEG";"QT_TOTAL_VOTOS_ANULADOS";"QT_VOTOS_NOMINAIS_ANULADOS";"QT_VOTOS_LEGENDA_ANULADOS";"QT_TOTAL_VOTOS_ANUL_SUBJUD";"QT_VOTOS_NOMINAIS_ANUL_SUBJUD";"QT_VOTOS_LEGENDA_ANUL_SUBJUD";"QT_VOTOS_BRANCOS";"QT_TOTAL_VOTOS_NULOS";"QT_VOTOS_NULOS";"QT_VOTOS_NULO_TECNICO";"QT_VOTOS_ANULADOS_APU_SEP";"HH_ULTIMA_TOTALIZACAO";"DT_ULTIMA_TOTALIZACAO"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"MS";"MS";"MATO GROSSO DO SUL";"55000";"NOVA ALVORADA DO SUL";"11";"3";"Governador";"15594";"51";"0";"15594";"51";"11088";"4506";"N";"11088";"10276";"10269";"10269";"0";"";"";"0";"";"";"7";"";"";"404";"408";"408";"0";"0";"19:16:17";"02/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"MS";"MS";"MATO GROSSO DO SUL";"55000";"NOVA ALVORADA DO SUL";"11";"5";"Senador";"15594";"51";"0";"15594";"51";"11088";"4506";"N";"11088";"9767";"9762";"9762";"0";"";"";"0";"";"";"5";"";"";"674";"647";"647";"0";"0";"19:16:17";"02/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"MS";"MS";"MATO GROSSO DO SUL";"55000";"NOVA ALVORADA DO SUL";"11";"6";"Deputado Federal";"15594";"51";"0";"15594";"51";"11088";"4506";"N";"11088";"10249";"9870";"9482";"388";"";"";"0";"";"";"379";"";"";"613";"226";"224";"2";"0";"19:16:17";"02/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"MS";"MS";"MATO GROSSO DO SUL";"55000";"NOVA ALVORADA DO SUL";"11";"7";"Deputado Estadual";"15594";"51";"0";"15594";"51";"11088";"4506";"N";"11088";"10226";"10163";"9516";"647";"";"";"0";"";"";"63";"";"";"630";"232";"231";"1";"0";"19:16:17";"02/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"MS";"MS";"MATO GROSSO DO SUL";"55018";"ALCINÓPOLIS";"38";"3";"Governador";"3605";"12";"0";"3605";"12";"2697";"908";"N";"2697";"2570";"2568";"2568";"0";"";"";"0";"";"";"2";"";"";"42";"85";"85";"0";"0";"19:47:03";"02/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"MS";"MS";"MATO GROSSO DO SUL";"55018";"ALCINÓPOLIS";"38";"5";"Senador";"3605";"12";"0";"3605";"12";"2697";"908";"N";"2697";"2465";"2464";"2464";"0";"";"";"0";"";"";"1";"";"";"72";"160";"160";"0";"0";"19:47:03";"02/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"MS";"MS";"MATO GROSSO DO SUL";"55018";"ALCINÓPOLIS";"38";"6";"Deputado Federal";"3605";"12";"0";"3605";"12";"2697";"908";"N";"2697";"2585";"2349";"2269";"80";"";"";"0";"";"";"236";"";"";"61";"51";"51";"0";"0";"19:47:03";"02/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"MS";"MS";"MATO GROSSO DO SUL";"55018";"ALCINÓPOLIS";"38";"7";"Deputado Estadual";"3605";"12";"0";"3605";"12";"2697";"908";"N";"2697";"2587";"2563";"2388";"175";"";"";"0";"";"";"24";"";"";"64";"46";"46";"0";"0";"19:47:03";"02/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"MS";"MS";"MATO GROSSO DO SUL";"55026";"LAGUNA CARAPÃ";"43";"3";"Governador";"5249";"18";"4";"5249";"18";"4383";"866";"N";"4383";"4192";"4182";"4182";"0";"";"";"0";"";"";"10";"";"";"64";"127";"127";"0";"0";"19:49:44";"02/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"MS";"MS";"MATO GROSSO DO SUL";"55026";"LAGUNA CARAPÃ";"43";"5";"Senador";"5249";"18";"4";"5249";"18";"4383";"866";"N";"4383";"4079";"4075";"4075";"0";"";"";"0";"";"";"4";"";"";"92";"212";"212";"0";"0";"19:49:44";"02/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"MS";"MS";"MATO GROSSO DO SUL";"55026";"LAGUNA CARAPÃ";"43";"6";"Deputado Federal";"5249";"18";"4";"5249";"18";"4383";"866";"N";"4383";"4233";"4055";"3919";"136";"";"";"0";"";"";"178";"";"";"114";"36";"35";"1";"0";"19:49:44";"02/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"MS";"MS";"MATO GROSSO DO SUL";"55026";"LAGUNA CARAPÃ";"43";"7";"Deputado Estadual";"5249";"18";"4";"5249";"18";"4383";"866";"N";"4383";"4246";"4246";"3978";"268";"";"";"0";"";"";"0";"";"";"99";"38";"37";"1";"0";"19:49:44";"02/10/2022"
