"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"NR_TURNO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"TP_ABRANGENCIA";"SG_UF";"SG_UE";"NM_UE";"CD_MUNICIPIO";"NM_MUNICIPIO";"NR_ZONA";"CD_CARGO";"DS_CARGO";"QT_APTOS";"QT_SECOES";"QT_SECOES_AGREGADAS";"QT_APTOS_TOT";"QT_SECOES_TOT";"QT_COMPARECIMENTO";"QT_ABSTENCOES";"ST_VOTO_EM_TRANSITO";"QT_VOTOS";"QT_VOTOS_CONCORRENTES";"QT_VOTOS_VALIDOS";"QT_VOTOS_NOMINAIS_VALIDOS";"QT_TOTAL_VOTOS_LEG_VALIDOS";"QT_VOTOS_LEGENDA_VALIDOS";"QT_VOTOS_NOMINAIS_CONVR_LEG";"QT_TOTAL_VOTOS_ANULADOS";"QT_VOTOS_NOMINAIS_ANULADOS";"QT_VOTOS_LEGENDA_ANULADOS";"QT_TOTAL_VOTOS_ANUL_SUBJUD";"QT_VOTOS_NOMINAIS_ANUL_SUBJUD";"QT_VOTOS_LEGENDA_ANUL_SUBJUD";"QT_VOTOS_BRANCOS";"QT_TOTAL_VOTOS_NULOS";"QT_VOTOS_NULOS";"QT_VOTOS_NULO_TECNICO";"QT_VOTOS_ANULADOS_APU_SEP";"HH_ULTIMA_TOTALIZACAO";"DT_ULTIMA_TOTALIZACAO"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"PA";"PA";"PARÁ";"04006";"GOIANÉSIA DO PARÁ";"103";"3";"Governador";"22433";"83";"7";"22433";"83";"16281";"6152";"N";"16281";"14852";"14852";"14852";"0";"";"";"0";"";"";"0";"";"";"296";"1133";"1133";"0";"0";"21:02:10";"02/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"PA";"PA";"PARÁ";"04006";"GOIANÉSIA DO PARÁ";"103";"5";"Senador";"22433";"83";"7";"22433";"83";"16281";"6152";"N";"16281";"14569";"14569";"14569";"0";"";"";"0";"";"";"0";"";"";"562";"1150";"1150";"0";"0";"21:02:10";"02/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"PA";"PA";"PARÁ";"04006";"GOIANÉSIA DO PARÁ";"103";"6";"Deputado Federal";"22433";"83";"7";"22433";"83";"16281";"6152";"N";"16281";"15743";"15731";"15204";"527";"";"";"0";"";"";"12";"";"";"320";"218";"215";"3";"0";"21:02:10";"02/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"PA";"PA";"PARÁ";"04006";"GOIANÉSIA DO PARÁ";"103";"7";"Deputado Estadual";"22433";"83";"7";"22433";"83";"16281";"6152";"N";"16281";"15668";"15664";"14505";"1159";"";"";"0";"";"";"4";"";"";"372";"241";"241";"0";"0";"21:02:10";"02/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"PA";"PA";"PARÁ";"04014";"ABAETETUBA";"7";"3";"Governador";"119591";"346";"24";"119591";"346";"99959";"19632";"N";"99959";"94264";"94264";"94264";"0";"";"";"0";"";"";"0";"";"";"1107";"4588";"4588";"0";"0";"02:15:20";"03/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"PA";"PA";"PARÁ";"04014";"ABAETETUBA";"7";"5";"Senador";"119591";"346";"24";"119591";"346";"99959";"19632";"N";"99959";"90538";"90533";"90533";"0";"";"";"0";"";"";"5";"";"";"3838";"5583";"5583";"0";"0";"02:15:20";"03/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"PA";"PA";"PARÁ";"04014";"ABAETETUBA";"7";"6";"Deputado Federal";"119591";"346";"24";"119591";"346";"99959";"19632";"N";"99959";"96230";"96044";"93055";"2989";"";"";"0";"";"";"186";"";"";"2391";"1338";"1334";"4";"0";"02:15:20";"03/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"PA";"PA";"PARÁ";"04014";"ABAETETUBA";"7";"7";"Deputado Estadual";"119591";"346";"24";"119591";"346";"99959";"19632";"N";"99959";"97050";"96967";"91516";"5451";"";"";"0";"";"";"83";"";"";"1792";"1117";"1116";"1";"0";"02:15:20";"03/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"PA";"PA";"PARÁ";"04022";"TAILÂNDIA";"93";"3";"Governador";"52834";"161";"1";"52834";"161";"40305";"12529";"N";"40305";"36903";"36903";"36903";"0";"";"";"0";"";"";"0";"";"";"791";"2611";"2611";"0";"0";"21:18:18";"02/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"PA";"PA";"PARÁ";"04022";"TAILÂNDIA";"93";"5";"Senador";"52834";"161";"1";"52834";"161";"40305";"12529";"N";"40305";"35339";"35336";"35336";"0";"";"";"0";"";"";"3";"";"";"1966";"3000";"3000";"0";"0";"21:18:18";"02/10/2022"
