"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"NR_TURNO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"TP_ABRANGENCIA";"SG_UF";"SG_UE";"NM_UE";"CD_MUNICIPIO";"NM_MUNICIPIO";"NR_ZONA";"CD_CARGO";"DS_CARGO";"QT_APTOS";"QT_SECOES";"QT_SECOES_AGREGADAS";"QT_APTOS_TOT";"QT_SECOES_TOT";"QT_COMPARECIMENTO";"QT_ABSTENCOES";"ST_VOTO_EM_TRANSITO";"QT_VOTOS";"QT_VOTOS_CONCORRENTES";"QT_VOTOS_VALIDOS";"QT_VOTOS_NOMINAIS_VALIDOS";"QT_TOTAL_VOTOS_LEG_VALIDOS";"QT_VOTOS_LEGENDA_VALIDOS";"QT_VOTOS_NOMINAIS_CONVR_LEG";"QT_TOTAL_VOTOS_ANULADOS";"QT_VOTOS_NOMINAIS_ANULADOS";"QT_VOTOS_LEGENDA_ANULADOS";"QT_TOTAL_VOTOS_ANUL_SUBJUD";"QT_VOTOS_NOMINAIS_ANUL_SUBJUD";"QT_VOTOS_LEGENDA_ANUL_SUBJUD";"QT_VOTOS_BRANCOS";"QT_TOTAL_VOTOS_NULOS";"QT_VOTOS_NULOS";"QT_VOTOS_NULO_TECNICO";"QT_VOTOS_ANULADOS_APU_SEP";"HH_ULTIMA_TOTALIZACAO";"DT_ULTIMA_TOTALIZACAO"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"PB";"PB";"PARAÍBA";"19003";"RIACHÃO DO POÇO";"4";"3";"Governador";"4366";"15";"1";"4366";"15";"3691";"675";"N";"3691";"3175";"3174";"3174";"0";"";"";"0";"";"";"1";"";"";"110";"406";"406";"0";"0";"20:26:25";"02/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"PB";"PB";"PARAÍBA";"19003";"RIACHÃO DO POÇO";"4";"5";"Senador";"4366";"15";"1";"4366";"15";"3691";"675";"N";"3691";"3051";"2536";"2536";"0";"";"";"0";"";"";"515";"";"";"231";"409";"409";"0";"0";"20:26:25";"02/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"PB";"PB";"PARAÍBA";"19003";"RIACHÃO DO POÇO";"4";"6";"Deputado Federal";"4366";"15";"1";"4366";"15";"3691";"675";"N";"3691";"3268";"3264";"3108";"156";"";"";"0";"";"";"4";"";"";"227";"196";"195";"1";"0";"20:26:25";"02/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"PB";"PB";"PARAÍBA";"19003";"RIACHÃO DO POÇO";"4";"7";"Deputado Estadual";"4366";"15";"1";"4366";"15";"3691";"675";"N";"3691";"3312";"3312";"3060";"252";"";"";"0";"";"";"0";"";"";"193";"186";"186";"0";"0";"20:26:25";"02/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"PB";"PB";"PARAÍBA";"19011";"ÁGUA BRANCA";"74";"3";"Governador";"7827";"29";"0";"7827";"29";"6170";"1657";"N";"6170";"5164";"5164";"5164";"0";"";"";"0";"";"";"0";"";"";"291";"715";"715";"0";"0";"20:28:13";"02/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"PB";"PB";"PARAÍBA";"19011";"ÁGUA BRANCA";"74";"5";"Senador";"7827";"29";"0";"7827";"29";"6170";"1657";"N";"6170";"5032";"4274";"4274";"0";"";"";"0";"";"";"758";"";"";"454";"684";"684";"0";"0";"20:28:13";"02/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"PB";"PB";"PARAÍBA";"19011";"ÁGUA BRANCA";"74";"6";"Deputado Federal";"7827";"29";"0";"7827";"29";"6170";"1657";"N";"6170";"5577";"5574";"5329";"245";"";"";"0";"";"";"3";"";"";"408";"185";"184";"1";"0";"20:28:13";"02/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"PB";"PB";"PARAÍBA";"19011";"ÁGUA BRANCA";"74";"7";"Deputado Estadual";"7827";"29";"0";"7827";"29";"6170";"1657";"N";"6170";"5595";"5595";"5088";"507";"";"";"0";"";"";"0";"";"";"388";"187";"186";"1";"0";"20:28:13";"02/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"PB";"PB";"PARAÍBA";"19020";"SOBRADO";"4";"3";"Governador";"7247";"25";"0";"7247";"25";"5967";"1280";"N";"5967";"5168";"5168";"5168";"0";"";"";"0";"";"";"0";"";"";"230";"569";"569";"0";"0";"19:48:50";"02/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"PB";"PB";"PARAÍBA";"19020";"SOBRADO";"4";"5";"Senador";"7247";"25";"0";"7247";"25";"5967";"1280";"N";"5967";"4894";"4147";"4147";"0";"";"";"0";"";"";"747";"";"";"470";"603";"603";"0";"0";"19:48:50";"02/10/2022"
