"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"NR_TURNO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"TP_ABRANGENCIA";"SG_UF";"SG_UE";"NM_UE";"CD_MUNICIPIO";"NM_MUNICIPIO";"NR_ZONA";"CD_CARGO";"DS_CARGO";"QT_APTOS";"QT_SECOES";"QT_SECOES_AGREGADAS";"QT_APTOS_TOT";"QT_SECOES_TOT";"QT_COMPARECIMENTO";"QT_ABSTENCOES";"ST_VOTO_EM_TRANSITO";"QT_VOTOS";"QT_VOTOS_CONCORRENTES";"QT_VOTOS_VALIDOS";"QT_VOTOS_NOMINAIS_VALIDOS";"QT_TOTAL_VOTOS_LEG_VALIDOS";"QT_VOTOS_LEGENDA_VALIDOS";"QT_VOTOS_NOMINAIS_CONVR_LEG";"QT_TOTAL_VOTOS_ANULADOS";"QT_VOTOS_NOMINAIS_ANULADOS";"QT_VOTOS_LEGENDA_ANULADOS";"QT_TOTAL_VOTOS_ANUL_SUBJUD";"QT_VOTOS_NOMINAIS_ANUL_SUBJUD";"QT_VOTOS_LEGENDA_ANUL_SUBJUD";"QT_VOTOS_BRANCOS";"QT_TOTAL_VOTOS_NULOS";"QT_VOTOS_NULOS";"QT_VOTOS_NULO_TECNICO";"QT_VOTOS_ANULADOS_APU_SEP";"HH_ULTIMA_TOTALIZACAO";"DT_ULTIMA_TOTALIZACAO"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"PE";"PE";"PERNAMBUCO";"23000";"QUIXABA";"98";"3";"Governador";"6109";"20";"0";"6109";"20";"4962";"1147";"N";"4962";"4313";"4313";"4313";"0";"";"";"0";"";"";"0";"";"";"172";"477";"477";"0";"0";"21:13:56";"02/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"PE";"PE";"PERNAMBUCO";"23000";"QUIXABA";"98";"5";"Senador";"6109";"20";"0";"6109";"20";"4962";"1147";"N";"4962";"4145";"4145";"4145";"0";"";"";"0";"";"";"0";"";"";"326";"491";"491";"0";"0";"21:13:56";"02/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"PE";"PE";"PERNAMBUCO";"23000";"QUIXABA";"98";"6";"Deputado Federal";"6109";"20";"0";"6109";"20";"4962";"1147";"N";"4962";"4510";"4499";"4325";"174";"";"";"0";"";"";"11";"";"";"283";"169";"169";"0";"0";"21:13:56";"02/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"PE";"PE";"PERNAMBUCO";"23000";"QUIXABA";"98";"7";"Deputado Estadual";"6109";"20";"0";"6109";"20";"4962";"1147";"N";"4962";"4538";"4527";"4118";"409";"";"";"0";"";"";"11";"";"";"274";"150";"150";"0";"0";"21:13:56";"02/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"PE";"PE";"PERNAMBUCO";"23019";"AFOGADOS DA INGAZEIRA";"66";"3";"Governador";"28489";"99";"4";"28489";"99";"22443";"6046";"N";"22443";"18854";"18854";"18854";"0";"";"";"0";"";"";"0";"";"";"1285";"2304";"2303";"1";"0";"20:53:48";"02/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"PE";"PE";"PERNAMBUCO";"23019";"AFOGADOS DA INGAZEIRA";"66";"5";"Senador";"28489";"99";"4";"28489";"99";"22443";"6046";"N";"22443";"17412";"17405";"17405";"0";"";"";"0";"";"";"7";"";"";"2222";"2809";"2809";"0";"0";"20:53:48";"02/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"PE";"PE";"PERNAMBUCO";"23019";"AFOGADOS DA INGAZEIRA";"66";"6";"Deputado Federal";"28489";"99";"4";"28489";"99";"22443";"6046";"N";"22443";"20099";"20053";"19305";"748";"";"";"0";"";"";"46";"";"";"1375";"969";"961";"8";"0";"20:53:48";"02/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"PE";"PE";"PERNAMBUCO";"23019";"AFOGADOS DA INGAZEIRA";"66";"7";"Deputado Estadual";"28489";"99";"4";"28489";"99";"22443";"6046";"N";"22443";"20131";"20098";"18575";"1523";"";"";"0";"";"";"33";"";"";"1342";"970";"966";"4";"0";"20:53:48";"02/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"PE";"PE";"PERNAMBUCO";"23027";"LAGOA DO CARRO";"20";"3";"Governador";"14319";"41";"1";"14319";"41";"12373";"1946";"N";"12373";"10807";"10807";"10807";"0";"";"";"0";"";"";"0";"";"";"474";"1092";"1092";"0";"0";"20:38:58";"02/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"PE";"PE";"PERNAMBUCO";"23027";"LAGOA DO CARRO";"20";"5";"Senador";"14319";"41";"1";"14319";"41";"12373";"1946";"N";"12373";"9862";"9861";"9861";"0";"";"";"0";"";"";"1";"";"";"1004";"1507";"1507";"0";"0";"20:38:58";"02/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"PE";"PE";"PERNAMBUCO";"23027";"LAGOA DO CARRO";"20";"6";"Deputado Federal";"14319";"41";"1";"14319";"41";"12373";"1946";"N";"12373";"11226";"11219";"10885";"334";"";"";"0";"";"";"7";"";"";"606";"541";"540";"1";"0";"20:38:58";"02/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"PE";"PE";"PERNAMBUCO";"23027";"LAGOA DO CARRO";"20";"7";"Deputado Estadual";"14319";"41";"1";"14319";"41";"12373";"1946";"N";"12373";"10968";"10908";"10094";"814";"";"";"0";"";"";"60";"";"";"760";"645";"643";"2";"0";"20:38:58";"02/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"PE";"PE";"PERNAMBUCO";"23035";"AFRÂNIO";"107";"3";"Governador";"17234";"49";"2";"17234";"49";"13773";"3461";"N";"13773";"11895";"11895";"11895";"0";"";"";"0";"";"";"0";"";"";"443";"1435";"1434";"1";"0";"22:55:42";"02/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"PE";"PE";"PERNAMBUCO";"23035";"AFRÂNIO";"107";"5";"Senador";"17234";"49";"2";"17234";"49";"13773";"3461";"N";"13773";"10961";"10961";"10961";"0";"";"";"0";"";"";"0";"";"";"927";"1885";"1885";"0";"0";"22:55:42";"02/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"PE";"PE";"PERNAMBUCO";"23035";"AFRÂNIO";"107";"6";"Deputado Federal";"17234";"49";"2";"17234";"49";"13773";"3461";"N";"13773";"12617";"12600";"12058";"542";"";"";"0";"";"";"17";"";"";"572";"584";"573";"11";"0";"22:55:42";"02/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"PE";"PE";"PERNAMBUCO";"23035";"AFRÂNIO";"107";"7";"Deputado Estadual";"17234";"49";"2";"17234";"49";"13773";"3461";"N";"13773";"12385";"12380";"11148";"1232";"";"";"0";"";"";"5";"";"";"710";"678";"677";"1";"0";"22:55:42";"02/10/2022"
