"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"NR_TURNO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"TP_ABRANGENCIA";"SG_UF";"SG_UE";"NM_UE";"CD_MUNICIPIO";"NM_MUNICIPIO";"NR_ZONA";"CD_CARGO";"DS_CARGO";"QT_APTOS";"QT_SECOES";"QT_SECOES_AGREGADAS";"QT_APTOS_TOT";"QT_SECOES_TOT";"QT_COMPARECIMENTO";"QT_ABSTENCOES";"ST_VOTO_EM_TRANSITO";"QT_VOTOS";"QT_VOTOS_CONCORRENTES";"QT_VOTOS_VALIDOS";"QT_VOTOS_NOMINAIS_VALIDOS";"QT_TOTAL_VOTOS_LEG_VALIDOS";"QT_VOTOS_LEGENDA_VALIDOS";"QT_VOTOS_NOMINAIS_CONVR_LEG";"QT_TOTAL_VOTOS_ANULADOS";"QT_VOTOS_NOMINAIS_ANULADOS";"QT_VOTOS_LEGENDA_ANULADOS";"QT_TOTAL_VOTOS_ANUL_SUBJUD";"QT_VOTOS_NOMINAIS_ANUL_SUBJUD";"QT_VOTOS_LEGENDA_ANUL_SUBJUD";"QT_VOTOS_BRANCOS";"QT_TOTAL_VOTOS_NULOS";"QT_VOTOS_NULOS";"QT_VOTOS_NULO_TECNICO";"QT_VOTOS_ANULADOS_APU_SEP";"HH_ULTIMA_TOTALIZACAO";"DT_ULTIMA_TOTALIZACAO"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"PI";"PI";"PIAUÍ";"10006";"BRASILEIRA";"11";"3";"Governador";"7621";"26";"8";"7621";"26";"5956";"1665";"N";"5956";"5593";"5585";"5585";"0";"";"";"2";"";"";"6";"";"";"121";"242";"214";"28";"0";"15:16:56";"24/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"PI";"PI";"PIAUÍ";"10006";"BRASILEIRA";"11";"5";"Senador";"7621";"26";"8";"7621";"26";"5956";"1665";"N";"5956";"5388";"5388";"5388";"0";"";"";"0";"";"";"0";"";"";"201";"367";"367";"0";"0";"15:16:56";"24/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"PI";"PI";"PIAUÍ";"10006";"BRASILEIRA";"11";"6";"Deputado Federal";"7621";"26";"8";"7621";"26";"5956";"1665";"N";"5956";"5666";"5666";"5373";"293";"";"";"0";"";"";"0";"";"";"141";"149";"149";"0";"0";"15:16:56";"24/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"PI";"PI";"PIAUÍ";"10006";"BRASILEIRA";"11";"7";"Deputado Estadual";"7621";"26";"8";"7621";"26";"5956";"1665";"N";"5956";"5640";"5640";"5233";"407";"";"";"0";"";"";"0";"";"";"134";"182";"182";"0";"0";"15:16:56";"24/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"PI";"PI";"PIAUÍ";"10014";"AGRICOLÂNDIA";"30";"3";"Governador";"5063";"17";"6";"5063";"17";"4023";"1040";"N";"4023";"3705";"3697";"3697";"0";"";"";"0";"";"";"8";"";"";"93";"225";"192";"33";"0";"15:16:57";"24/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"PI";"PI";"PIAUÍ";"10014";"AGRICOLÂNDIA";"30";"5";"Senador";"5063";"17";"6";"5063";"17";"4023";"1040";"N";"4023";"3594";"3594";"3594";"0";"";"";"0";"";"";"0";"";"";"140";"289";"289";"0";"0";"15:16:57";"24/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"PI";"PI";"PIAUÍ";"10014";"AGRICOLÂNDIA";"30";"6";"Deputado Federal";"5063";"17";"6";"5063";"17";"4023";"1040";"N";"4023";"3680";"3677";"3517";"160";"";"";"0";"";"";"3";"";"";"134";"209";"209";"0";"0";"15:16:57";"24/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"PI";"PI";"PIAUÍ";"10014";"AGRICOLÂNDIA";"30";"7";"Deputado Estadual";"5063";"17";"6";"5063";"17";"4023";"1040";"N";"4023";"3776";"3776";"3527";"249";"";"";"0";"";"";"0";"";"";"108";"139";"133";"6";"0";"15:16:57";"24/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"PI";"PI";"PIAUÍ";"10022";"ALEGRETE DO PIAUÍ";"40";"3";"Governador";"4334";"16";"7";"4334";"16";"3459";"875";"N";"3459";"3276";"3267";"3267";"0";"";"";"8";"";"";"1";"";"";"44";"139";"115";"24";"0";"15:16:57";"24/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"PI";"PI";"PIAUÍ";"10022";"ALEGRETE DO PIAUÍ";"40";"5";"Senador";"4334";"16";"7";"4334";"16";"3459";"875";"N";"3459";"3206";"3206";"3206";"0";"";"";"0";"";"";"0";"";"";"79";"174";"174";"0";"0";"15:16:57";"24/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"PI";"PI";"PIAUÍ";"10022";"ALEGRETE DO PIAUÍ";"40";"6";"Deputado Federal";"4334";"16";"7";"4334";"16";"3459";"875";"N";"3459";"3347";"3347";"3226";"121";"";"";"0";"";"";"0";"";"";"52";"60";"59";"1";"0";"15:16:57";"24/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"PI";"PI";"PIAUÍ";"10022";"ALEGRETE DO PIAUÍ";"40";"7";"Deputado Estadual";"4334";"16";"7";"4334";"16";"3459";"875";"N";"3459";"3359";"3359";"3104";"255";"";"";"0";"";"";"0";"";"";"52";"48";"48";"0";"0";"15:16:57";"24/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"PI";"PI";"PIAUÍ";"10030";"ÁGUA BRANCA";"52";"3";"Governador";"15269";"53";"0";"15269";"53";"12671";"2598";"N";"12671";"11928";"11895";"11895";"0";"";"";"3";"";"";"30";"";"";"242";"501";"402";"99";"0";"15:16:57";"24/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"PI";"PI";"PIAUÍ";"10030";"ÁGUA BRANCA";"52";"5";"Senador";"15269";"53";"0";"15269";"53";"12671";"2598";"N";"12671";"11573";"11573";"11573";"0";"";"";"0";"";"";"0";"";"";"408";"690";"690";"0";"0";"15:16:57";"24/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"PI";"PI";"PIAUÍ";"10030";"ÁGUA BRANCA";"52";"6";"Deputado Federal";"15269";"53";"0";"15269";"53";"12671";"2598";"N";"12671";"11972";"11963";"11576";"387";"";"";"0";"";"";"9";"";"";"334";"365";"365";"0";"0";"15:16:57";"24/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"PI";"PI";"PIAUÍ";"10030";"ÁGUA BRANCA";"52";"7";"Deputado Estadual";"15269";"53";"0";"15269";"53";"12671";"2598";"N";"12671";"11997";"11997";"11356";"641";"";"";"0";"";"";"0";"";"";"299";"375";"372";"3";"0";"15:16:57";"24/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"PI";"PI";"PIAUÍ";"10049";"BAIXA GRANDE DO RIBEIRO";"44";"3";"Governador";"9654";"33";"2";"9654";"33";"8415";"1239";"N";"8415";"7811";"7799";"7799";"0";"";"";"0";"";"";"12";"";"";"190";"414";"313";"101";"0";"15:16:56";"24/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"PI";"PI";"PIAUÍ";"10049";"BAIXA GRANDE DO RIBEIRO";"44";"5";"Senador";"9654";"33";"2";"9654";"33";"8415";"1239";"N";"8415";"7573";"7573";"7573";"0";"";"";"0";"";"";"0";"";"";"290";"552";"552";"0";"0";"15:16:56";"24/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"PI";"PI";"PIAUÍ";"10049";"BAIXA GRANDE DO RIBEIRO";"44";"6";"Deputado Federal";"9654";"33";"2";"9654";"33";"8415";"1239";"N";"8415";"7877";"7877";"7544";"333";"";"";"0";"";"";"0";"";"";"225";"313";"313";"0";"0";"15:16:56";"24/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"PI";"PI";"PIAUÍ";"10049";"BAIXA GRANDE DO RIBEIRO";"44";"7";"Deputado Estadual";"9654";"33";"2";"9654";"33";"8415";"1239";"N";"8415";"7981";"7981";"7156";"825";"";"";"0";"";"";"0";"";"";"221";"213";"212";"1";"0";"15:16:56";"24/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"PI";"PI";"PIAUÍ";"10057";"ALTO LONGÁ";"47";"3";"Governador";"12299";"45";"10";"12299";"45";"10586";"1713";"N";"10586";"10006";"9967";"9967";"0";"";"";"4";"";"";"35";"";"";"97";"483";"434";"49";"0";"15:17:00";"24/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"PI";"PI";"PIAUÍ";"10057";"ALTO LONGÁ";"47";"5";"Senador";"12299";"45";"10";"12299";"45";"10586";"1713";"N";"10586";"9729";"9729";"9729";"0";"";"";"0";"";"";"0";"";"";"177";"680";"680";"0";"0";"15:17:00";"24/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"PI";"PI";"PIAUÍ";"10057";"ALTO LONGÁ";"47";"6";"Deputado Federal";"12299";"45";"10";"12299";"45";"10586";"1713";"N";"10586";"10177";"10170";"9789";"381";"";"";"0";"";"";"7";"";"";"154";"255";"252";"3";"0";"15:17:00";"24/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"PI";"PI";"PIAUÍ";"10057";"ALTO LONGÁ";"47";"7";"Deputado Estadual";"12299";"45";"10";"12299";"45";"10586";"1713";"N";"10586";"10122";"10122";"9350";"772";"";"";"0";"";"";"0";"";"";"148";"316";"314";"2";"0";"15:17:00";"24/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"PI";"PI";"PIAUÍ";"10065";"BOM PRINCÍPIO DO PIAUÍ";"33";"3";"Governador";"6086";"20";"13";"6086";"20";"5128";"958";"N";"5128";"4787";"4766";"4766";"0";"";"";"6";"";"";"15";"";"";"99";"242";"202";"40";"0";"15:16:59";"24/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"PI";"PI";"PIAUÍ";"10065";"BOM PRINCÍPIO DO PIAUÍ";"33";"5";"Senador";"6086";"20";"13";"6086";"20";"5128";"958";"N";"5128";"4679";"4679";"4679";"0";"";"";"0";"";"";"0";"";"";"130";"319";"319";"0";"0";"15:16:59";"24/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"PI";"PI";"PIAUÍ";"10065";"BOM PRINCÍPIO DO PIAUÍ";"33";"6";"Deputado Federal";"6086";"20";"13";"6086";"20";"5128";"958";"N";"5128";"4915";"4914";"4602";"312";"";"";"0";"";"";"1";"";"";"91";"122";"122";"0";"0";"15:16:59";"24/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"PI";"PI";"PIAUÍ";"10065";"BOM PRINCÍPIO DO PIAUÍ";"33";"7";"Deputado Estadual";"6086";"20";"13";"6086";"20";"5128";"958";"N";"5128";"4881";"4881";"4539";"342";"";"";"0";"";"";"0";"";"";"83";"164";"164";"0";"0";"15:16:59";"24/10/2022"
