"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"NR_TURNO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"TP_ABRANGENCIA";"SG_UF";"SG_UE";"NM_UE";"CD_MUNICIPIO";"NM_MUNICIPIO";"NR_ZONA";"CD_CARGO";"DS_CARGO";"QT_APTOS";"QT_SECOES";"QT_SECOES_AGREGADAS";"QT_APTOS_TOT";"QT_SECOES_TOT";"QT_COMPARECIMENTO";"QT_ABSTENCOES";"ST_VOTO_EM_TRANSITO";"QT_VOTOS";"QT_VOTOS_CONCORRENTES";"QT_VOTOS_VALIDOS";"QT_VOTOS_NOMINAIS_VALIDOS";"QT_TOTAL_VOTOS_LEG_VALIDOS";"QT_VOTOS_LEGENDA_VALIDOS";"QT_VOTOS_NOMINAIS_CONVR_LEG";"QT_TOTAL_VOTOS_ANULADOS";"QT_VOTOS_NOMINAIS_ANULADOS";"QT_VOTOS_LEGENDA_ANULADOS";"QT_TOTAL_VOTOS_ANUL_SUBJUD";"QT_VOTOS_NOMINAIS_ANUL_SUBJUD";"QT_VOTOS_LEGENDA_ANUL_SUBJUD";"QT_VOTOS_BRANCOS";"QT_TOTAL_VOTOS_NULOS";"QT_VOTOS_NULOS";"QT_VOTOS_NULO_TECNICO";"QT_VOTOS_ANULADOS_APU_SEP";"HH_ULTIMA_TOTALIZACAO";"DT_ULTIMA_TOTALIZACAO"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"PR";"PR";"PARANÁ";"74004";"GODOY MOREIRA";"132";"3";"Governador";"2734";"11";"0";"2734";"11";"2149";"585";"N";"2149";"2008";"2007";"2007";"0";"";"";"0";"";"";"1";"";"";"55";"86";"86";"0";"0";"19:19:59";"02/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"PR";"PR";"PARANÁ";"74004";"GODOY MOREIRA";"132";"5";"Senador";"2734";"11";"0";"2734";"11";"2149";"585";"N";"2149";"1878";"1877";"1877";"0";"";"";"0";"";"";"1";"";"";"93";"178";"178";"0";"0";"19:19:59";"02/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"PR";"PR";"PARANÁ";"74004";"GODOY MOREIRA";"132";"6";"Deputado Federal";"2734";"11";"0";"2734";"11";"2149";"585";"N";"2149";"2072";"2072";"2008";"64";"";"";"0";"";"";"0";"";"";"55";"22";"22";"0";"0";"19:19:59";"02/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"PR";"PR";"PARANÁ";"74004";"GODOY MOREIRA";"132";"7";"Deputado Estadual";"2734";"11";"0";"2734";"11";"2149";"585";"N";"2149";"2062";"2061";"1894";"167";"";"";"0";"";"";"1";"";"";"63";"24";"24";"0";"0";"19:19:59";"02/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"PR";"PR";"PARANÁ";"74012";"ABATIÁ";"82";"3";"Governador";"5940";"16";"0";"5940";"16";"4557";"1383";"N";"4557";"4091";"4086";"4086";"0";"";"";"0";"";"";"5";"";"";"193";"273";"273";"0";"0";"21:28:11";"02/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"PR";"PR";"PARANÁ";"74012";"ABATIÁ";"82";"5";"Senador";"5940";"16";"0";"5940";"16";"4557";"1383";"N";"4557";"3928";"3928";"3928";"0";"";"";"0";"";"";"0";"";"";"228";"401";"401";"0";"0";"21:28:11";"02/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"PR";"PR";"PARANÁ";"74012";"ABATIÁ";"82";"6";"Deputado Federal";"5940";"16";"0";"5940";"16";"4557";"1383";"N";"4557";"4267";"4249";"4097";"152";"";"";"0";"";"";"18";"";"";"194";"96";"96";"0";"0";"21:28:11";"02/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"PR";"PR";"PARANÁ";"74012";"ABATIÁ";"82";"7";"Deputado Estadual";"5940";"16";"0";"5940";"16";"4557";"1383";"N";"4557";"4212";"4204";"3858";"346";"";"";"0";"";"";"8";"";"";"238";"107";"105";"2";"0";"21:28:11";"02/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"PR";"PR";"PARANÁ";"74020";"IBEMA";"166";"3";"Governador";"5186";"20";"0";"5186";"20";"3954";"1232";"N";"3954";"3598";"3585";"3585";"0";"";"";"0";"";"";"13";"";"";"181";"175";"175";"0";"0";"19:43:27";"02/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"PR";"PR";"PARANÁ";"74020";"IBEMA";"166";"5";"Senador";"5186";"20";"0";"5186";"20";"3954";"1232";"N";"3954";"3340";"3339";"3339";"0";"";"";"0";"";"";"1";"";"";"304";"310";"310";"0";"0";"19:43:27";"02/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"PR";"PR";"PARANÁ";"74020";"IBEMA";"166";"6";"Deputado Federal";"5186";"20";"0";"5186";"20";"3954";"1232";"N";"3954";"3672";"3671";"3546";"125";"";"";"0";"";"";"1";"";"";"215";"67";"67";"0";"0";"19:43:27";"02/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"PR";"PR";"PARANÁ";"74020";"IBEMA";"166";"7";"Deputado Estadual";"5186";"20";"0";"5186";"20";"3954";"1232";"N";"3954";"3626";"3625";"3365";"260";"";"";"0";"";"";"1";"";"";"250";"78";"78";"0";"0";"19:43:27";"02/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"PR";"PR";"PARANÁ";"74039";"ADRIANÓPOLIS";"48";"3";"Governador";"5449";"22";"0";"5449";"22";"4171";"1278";"N";"4171";"3815";"3813";"3813";"0";"";"";"0";"";"";"2";"";"";"118";"238";"238";"0";"0";"04:44:24";"03/10/2022"
