"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"NR_TURNO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"TP_ABRANGENCIA";"SG_UF";"SG_UE";"NM_UE";"CD_MUNICIPIO";"NM_MUNICIPIO";"NR_ZONA";"CD_CARGO";"DS_CARGO";"QT_APTOS";"QT_SECOES";"QT_SECOES_AGREGADAS";"QT_APTOS_TOT";"QT_SECOES_TOT";"QT_COMPARECIMENTO";"QT_ABSTENCOES";"ST_VOTO_EM_TRANSITO";"QT_VOTOS";"QT_VOTOS_CONCORRENTES";"QT_VOTOS_VALIDOS";"QT_VOTOS_NOMINAIS_VALIDOS";"QT_TOTAL_VOTOS_LEG_VALIDOS";"QT_VOTOS_LEGENDA_VALIDOS";"QT_VOTOS_NOMINAIS_CONVR_LEG";"QT_TOTAL_VOTOS_ANULADOS";"QT_VOTOS_NOMINAIS_ANULADOS";"QT_VOTOS_LEGENDA_ANULADOS";"QT_TOTAL_VOTOS_ANUL_SUBJUD";"QT_VOTOS_NOMINAIS_ANUL_SUBJUD";"QT_VOTOS_LEGENDA_ANUL_SUBJUD";"QT_VOTOS_BRANCOS";"QT_TOTAL_VOTOS_NULOS";"QT_VOTOS_NULOS";"QT_VOTOS_NULO_TECNICO";"QT_VOTOS_ANULADOS_APU_SEP";"HH_ULTIMA_TOTALIZACAO";"DT_ULTIMA_TOTALIZACAO"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"RJ";"RJ";"RIO DE JANEIRO";"58009";"QUISSAMÃ";"255";"3";"Governador";"19111";"55";"1";"19111";"55";"14934";"4177";"N";"14934";"13130";"13130";"13130";"0";"";"";"0";"";"";"0";"";"";"691";"1113";"1109";"4";"0";"20:37:41";"02/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"RJ";"RJ";"RIO DE JANEIRO";"58009";"QUISSAMÃ";"255";"5";"Senador";"19111";"55";"1";"19111";"55";"14934";"4177";"N";"14934";"12809";"11458";"11458";"0";"";"";"0";"";"";"1351";"";"";"959";"1166";"1166";"0";"0";"20:37:41";"02/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"RJ";"RJ";"RIO DE JANEIRO";"58009";"QUISSAMÃ";"255";"6";"Deputado Federal";"19111";"55";"1";"19111";"55";"14934";"4177";"N";"14934";"13594";"13420";"12998";"422";"";"";"0";"";"";"174";"";"";"825";"515";"508";"7";"0";"20:37:41";"02/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"RJ";"RJ";"RIO DE JANEIRO";"58009";"QUISSAMÃ";"255";"7";"Deputado Estadual";"19111";"55";"1";"19111";"55";"14934";"4177";"N";"14934";"13471";"13381";"12521";"860";"";"";"0";"";"";"90";"";"";"896";"567";"553";"14";"0";"20:37:41";"02/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"RJ";"RJ";"RIO DE JANEIRO";"58017";"ANGRA DOS REIS";"116";"3";"Governador";"61196";"184";"17";"61196";"184";"46680";"14516";"N";"46680";"39976";"39970";"39970";"0";"";"";"0";"";"";"6";"";"";"3071";"3633";"3593";"40";"0";"21:10:20";"02/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"RJ";"RJ";"RIO DE JANEIRO";"58017";"ANGRA DOS REIS";"116";"5";"Senador";"61196";"184";"17";"61196";"184";"46680";"14516";"N";"46680";"39279";"28878";"28878";"0";"";"";"0";"";"";"10401";"";"";"3681";"3720";"3720";"0";"0";"21:10:20";"02/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"RJ";"RJ";"RIO DE JANEIRO";"58017";"ANGRA DOS REIS";"116";"6";"Deputado Federal";"61196";"184";"17";"61196";"184";"46680";"14516";"N";"46680";"41695";"41555";"40463";"1092";"";"";"0";"";"";"140";"";"";"2684";"2301";"2276";"25";"0";"21:10:20";"02/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"RJ";"RJ";"RIO DE JANEIRO";"58017";"ANGRA DOS REIS";"116";"7";"Deputado Estadual";"61196";"184";"17";"61196";"184";"46680";"14516";"N";"46680";"41503";"40943";"38853";"2090";"";"";"0";"";"";"560";"";"";"2898";"2279";"2204";"75";"0";"21:10:20";"02/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"RJ";"RJ";"RIO DE JANEIRO";"58017";"ANGRA DOS REIS";"147";"3";"Governador";"71549";"194";"17";"71549";"194";"54785";"16764";"N";"54785";"46244";"46230";"46230";"0";"";"";"0";"";"";"14";"";"";"4130";"4411";"4344";"67";"0";"21:10:20";"02/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"RJ";"RJ";"RIO DE JANEIRO";"58017";"ANGRA DOS REIS";"147";"5";"Senador";"71549";"194";"17";"71549";"194";"54785";"16764";"N";"54785";"45219";"32345";"32345";"0";"";"";"0";"";"";"12874";"";"";"4932";"4634";"4634";"0";"0";"21:10:20";"02/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"RJ";"RJ";"RIO DE JANEIRO";"58017";"ANGRA DOS REIS";"147";"6";"Deputado Federal";"71549";"194";"17";"71549";"194";"54785";"16764";"N";"54785";"48886";"48608";"47266";"1342";"";"";"0";"";"";"278";"";"";"3506";"2393";"2368";"25";"0";"21:10:20";"02/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"RJ";"RJ";"RIO DE JANEIRO";"58017";"ANGRA DOS REIS";"147";"7";"Deputado Estadual";"71549";"194";"17";"71549";"194";"54785";"16764";"N";"54785";"48300";"47771";"45155";"2616";"";"";"0";"";"";"529";"";"";"3917";"2568";"2417";"151";"0";"21:10:20";"02/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"RJ";"RJ";"RIO DE JANEIRO";"58025";"QUATIS";"183";"3";"Governador";"10842";"33";"2";"10842";"33";"8792";"2050";"N";"8792";"7450";"7443";"7443";"0";"";"";"0";"";"";"7";"";"";"568";"774";"772";"2";"0";"21:30:25";"02/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"RJ";"RJ";"RIO DE JANEIRO";"58025";"QUATIS";"183";"5";"Senador";"10842";"33";"2";"10842";"33";"8792";"2050";"N";"8792";"7465";"6270";"6270";"0";"";"";"0";"";"";"1195";"";"";"647";"680";"680";"0";"0";"21:30:25";"02/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"RJ";"RJ";"RIO DE JANEIRO";"58025";"QUATIS";"183";"6";"Deputado Federal";"10842";"33";"2";"10842";"33";"8792";"2050";"N";"8792";"7915";"7854";"7621";"233";"";"";"0";"";"";"61";"";"";"539";"338";"335";"3";"0";"21:30:25";"02/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"RJ";"RJ";"RIO DE JANEIRO";"58025";"QUATIS";"183";"7";"Deputado Estadual";"10842";"33";"2";"10842";"33";"8792";"2050";"N";"8792";"7951";"7790";"7317";"473";"";"";"0";"";"";"161";"";"";"508";"333";"331";"2";"0";"21:30:25";"02/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"RJ";"RJ";"RIO DE JANEIRO";"58033";"ARARUAMA";"92";"3";"Governador";"103715";"269";"14";"103715";"269";"78790";"24925";"N";"78790";"68342";"68336";"68336";"0";"";"";"0";"";"";"6";"";"";"4430";"6018";"5994";"24";"0";"21:53:29";"02/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"RJ";"RJ";"RIO DE JANEIRO";"58033";"ARARUAMA";"92";"5";"Senador";"103715";"269";"14";"103715";"269";"78790";"24925";"N";"78790";"67188";"52896";"52896";"0";"";"";"0";"";"";"14292";"";"";"5123";"6479";"6479";"0";"0";"21:53:29";"02/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"RJ";"RJ";"RIO DE JANEIRO";"58033";"ARARUAMA";"92";"6";"Deputado Federal";"103715";"269";"14";"103715";"269";"78790";"24925";"N";"78790";"71486";"70344";"68556";"1788";"";"";"0";"";"";"1142";"";"";"3628";"3676";"3544";"132";"0";"21:53:29";"02/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"RJ";"RJ";"RIO DE JANEIRO";"58033";"ARARUAMA";"92";"7";"Deputado Estadual";"103715";"269";"14";"103715";"269";"78790";"24925";"N";"78790";"71190";"69726";"65631";"4095";"";"";"0";"";"";"1464";"";"";"4097";"3503";"3432";"71";"0";"21:53:29";"02/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"RJ";"RJ";"RIO DE JANEIRO";"58041";"BELFORD ROXO";"152";"3";"Governador";"95373";"257";"2";"95373";"257";"74014";"21359";"N";"74014";"61065";"61058";"61058";"0";"";"";"0";"";"";"7";"";"";"5390";"7559";"7532";"27";"0";"21:49:00";"02/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"RJ";"RJ";"RIO DE JANEIRO";"58041";"BELFORD ROXO";"152";"5";"Senador";"95373";"257";"2";"95373";"257";"74014";"21359";"N";"74014";"60565";"52573";"52573";"0";"";"";"0";"";"";"7992";"";"";"6289";"7160";"7160";"0";"0";"21:49:00";"02/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"RJ";"RJ";"RIO DE JANEIRO";"58041";"BELFORD ROXO";"152";"6";"Deputado Federal";"95373";"257";"2";"95373";"257";"74014";"21359";"N";"74014";"65360";"65199";"63471";"1728";"";"";"0";"";"";"161";"";"";"4534";"4120";"4078";"42";"0";"21:49:00";"02/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"RJ";"RJ";"RIO DE JANEIRO";"58041";"BELFORD ROXO";"152";"7";"Deputado Estadual";"95373";"257";"2";"95373";"257";"74014";"21359";"N";"74014";"65177";"63675";"60466";"3209";"";"";"0";"";"";"1502";"";"";"4700";"4137";"4082";"55";"0";"21:49:00";"02/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"RJ";"RJ";"RIO DE JANEIRO";"58041";"BELFORD ROXO";"153";"3";"Governador";"79155";"210";"15";"79155";"210";"62290";"16865";"N";"62290";"52020";"52012";"52012";"0";"";"";"0";"";"";"8";"";"";"4011";"6259";"6240";"19";"0";"21:49:00";"02/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"RJ";"RJ";"RIO DE JANEIRO";"58041";"BELFORD ROXO";"153";"5";"Senador";"79155";"210";"15";"79155";"210";"62290";"16865";"N";"62290";"51390";"44463";"44463";"0";"";"";"0";"";"";"6927";"";"";"4871";"6029";"6029";"0";"0";"21:49:00";"02/10/2022"
