"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"NR_TURNO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"TP_ABRANGENCIA";"SG_UF";"SG_UE";"NM_UE";"CD_MUNICIPIO";"NM_MUNICIPIO";"NR_ZONA";"CD_CARGO";"DS_CARGO";"QT_APTOS";"QT_SECOES";"QT_SECOES_AGREGADAS";"QT_APTOS_TOT";"QT_SECOES_TOT";"QT_COMPARECIMENTO";"QT_ABSTENCOES";"ST_VOTO_EM_TRANSITO";"QT_VOTOS";"QT_VOTOS_CONCORRENTES";"QT_VOTOS_VALIDOS";"QT_VOTOS_NOMINAIS_VALIDOS";"QT_TOTAL_VOTOS_LEG_VALIDOS";"QT_VOTOS_LEGENDA_VALIDOS";"QT_VOTOS_NOMINAIS_CONVR_LEG";"QT_TOTAL_VOTOS_ANULADOS";"QT_VOTOS_NOMINAIS_ANULADOS";"QT_VOTOS_LEGENDA_ANULADOS";"QT_TOTAL_VOTOS_ANUL_SUBJUD";"QT_VOTOS_NOMINAIS_ANUL_SUBJUD";"QT_VOTOS_LEGENDA_ANUL_SUBJUD";"QT_VOTOS_BRANCOS";"QT_TOTAL_VOTOS_NULOS";"QT_VOTOS_NULOS";"QT_VOTOS_NULO_TECNICO";"QT_VOTOS_ANULADOS_APU_SEP";"HH_ULTIMA_TOTALIZACAO";"DT_ULTIMA_TOTALIZACAO"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"RN";"RN";"RIO GRANDE DO NORTE";"16004";"TENENTE LAURENTINO CRUZ";"21";"3";"Governador";"5077";"15";"0";"5077";"15";"4248";"829";"N";"4248";"3686";"3686";"3686";"0";"";"";"0";"";"";"0";"";"";"199";"363";"363";"0";"0";"20:53:37";"02/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"RN";"RN";"RIO GRANDE DO NORTE";"16004";"TENENTE LAURENTINO CRUZ";"21";"5";"Senador";"5077";"15";"0";"5077";"15";"4248";"829";"N";"4248";"3593";"3593";"3593";"0";"";"";"0";"";"";"0";"";"";"233";"422";"422";"0";"0";"20:53:37";"02/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"RN";"RN";"RIO GRANDE DO NORTE";"16004";"TENENTE LAURENTINO CRUZ";"21";"6";"Deputado Federal";"5077";"15";"0";"5077";"15";"4248";"829";"N";"4248";"3897";"3897";"3760";"137";"";"";"0";"";"";"0";"";"";"165";"186";"186";"0";"0";"09:12:06";"14/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"RN";"RN";"RIO GRANDE DO NORTE";"16004";"TENENTE LAURENTINO CRUZ";"21";"7";"Deputado Estadual";"5077";"15";"0";"5077";"15";"4248";"829";"N";"4248";"3895";"3893";"3697";"196";"";"";"0";"";"";"2";"";"";"158";"195";"193";"2";"0";"09:12:06";"14/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"RN";"RN";"RIO GRANDE DO NORTE";"16012";"ACARI";"22";"3";"Governador";"9204";"29";"0";"9204";"29";"7415";"1789";"N";"7415";"6606";"6606";"6606";"0";"";"";"0";"";"";"0";"";"";"241";"568";"568";"0";"0";"19:50:55";"02/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"RN";"RN";"RIO GRANDE DO NORTE";"16012";"ACARI";"22";"5";"Senador";"9204";"29";"0";"9204";"29";"7415";"1789";"N";"7415";"6274";"6274";"6274";"0";"";"";"0";"";"";"0";"";"";"361";"780";"780";"0";"0";"19:50:55";"02/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"RN";"RN";"RIO GRANDE DO NORTE";"16012";"ACARI";"22";"6";"Deputado Federal";"9204";"29";"0";"9204";"29";"7415";"1789";"N";"7415";"6656";"6656";"6405";"251";"";"";"0";"";"";"0";"";"";"340";"419";"419";"0";"0";"09:12:06";"14/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"RN";"RN";"RIO GRANDE DO NORTE";"16012";"ACARI";"22";"7";"Deputado Estadual";"9204";"29";"0";"9204";"29";"7415";"1789";"N";"7415";"6589";"6534";"6163";"371";"";"";"0";"";"";"55";"";"";"373";"453";"452";"1";"0";"09:12:06";"14/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"RN";"RN";"RIO GRANDE DO NORTE";"16020";"SERRA DO MEL";"58";"3";"Governador";"11228";"42";"5";"11228";"42";"9735";"1493";"N";"9735";"8799";"8799";"8799";"0";"";"";"0";"";"";"0";"";"";"393";"543";"543";"0";"0";"20:49:59";"02/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"RN";"RN";"RIO GRANDE DO NORTE";"16020";"SERRA DO MEL";"58";"5";"Senador";"11228";"42";"5";"11228";"42";"9735";"1493";"N";"9735";"8276";"8276";"8276";"0";"";"";"0";"";"";"0";"";"";"633";"826";"826";"0";"0";"20:49:59";"02/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"RN";"RN";"RIO GRANDE DO NORTE";"16020";"SERRA DO MEL";"58";"6";"Deputado Federal";"11228";"42";"5";"11228";"42";"9735";"1493";"N";"9735";"9175";"9173";"8908";"265";"";"";"2";"";"";"0";"";"";"358";"202";"202";"0";"0";"09:11:54";"14/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"RN";"RN";"RIO GRANDE DO NORTE";"16020";"SERRA DO MEL";"58";"7";"Deputado Estadual";"11228";"42";"5";"11228";"42";"9735";"1493";"N";"9735";"9253";"9214";"8774";"440";"";"";"0";"";"";"39";"";"";"288";"194";"194";"0";"0";"09:11:54";"14/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"RN";"RN";"RIO GRANDE DO NORTE";"16039";"ASSÚ";"29";"3";"Governador";"43395";"127";"0";"43395";"127";"35766";"7629";"N";"35766";"31813";"31813";"31813";"0";"";"";"0";"";"";"0";"";"";"1684";"2269";"2269";"0";"0";"20:41:18";"02/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"RN";"RN";"RIO GRANDE DO NORTE";"16039";"ASSÚ";"29";"5";"Senador";"43395";"127";"0";"43395";"127";"35766";"7629";"N";"35766";"29476";"29476";"29476";"0";"";"";"0";"";"";"0";"";"";"2683";"3607";"3607";"0";"0";"20:41:18";"02/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"RN";"RN";"RIO GRANDE DO NORTE";"16039";"ASSÚ";"29";"6";"Deputado Federal";"43395";"127";"0";"43395";"127";"35766";"7629";"N";"35766";"33504";"33499";"32090";"1409";"";"";"5";"";"";"0";"";"";"1323";"939";"939";"0";"0";"09:12:07";"14/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"RN";"RN";"RIO GRANDE DO NORTE";"16039";"ASSÚ";"29";"7";"Deputado Estadual";"43395";"127";"0";"43395";"127";"35766";"7629";"N";"35766";"33207";"32953";"31146";"1807";"";"";"0";"";"";"254";"";"";"1429";"1130";"1117";"13";"0";"09:12:07";"14/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"RN";"RN";"RIO GRANDE DO NORTE";"16047";"CAIÇARA DO NORTE";"52";"3";"Governador";"5175";"18";"0";"5175";"18";"4300";"875";"N";"4300";"3805";"3805";"3805";"0";"";"";"0";"";"";"0";"";"";"169";"326";"326";"0";"0";"19:18:43";"02/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"RN";"RN";"RIO GRANDE DO NORTE";"16047";"CAIÇARA DO NORTE";"52";"5";"Senador";"5175";"18";"0";"5175";"18";"4300";"875";"N";"4300";"3538";"3538";"3538";"0";"";"";"0";"";"";"0";"";"";"295";"467";"467";"0";"0";"19:18:43";"02/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"RN";"RN";"RIO GRANDE DO NORTE";"16047";"CAIÇARA DO NORTE";"52";"6";"Deputado Federal";"5175";"18";"0";"5175";"18";"4300";"875";"N";"4300";"4001";"4001";"3853";"148";"";"";"0";"";"";"0";"";"";"171";"128";"128";"0";"0";"09:12:09";"14/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"RN";"RN";"RIO GRANDE DO NORTE";"16047";"CAIÇARA DO NORTE";"52";"7";"Deputado Estadual";"5175";"18";"0";"5175";"18";"4300";"875";"N";"4300";"4026";"4018";"3812";"206";"";"";"0";"";"";"8";"";"";"146";"128";"126";"2";"0";"09:12:09";"14/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"RN";"RN";"RIO GRANDE DO NORTE";"16055";"AFONSO BEZERRA";"18";"3";"Governador";"9841";"33";"0";"9841";"33";"7983";"1858";"N";"7983";"7197";"7197";"7197";"0";"";"";"0";"";"";"0";"";"";"287";"499";"499";"0";"0";"00:10:35";"03/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"RN";"RN";"RIO GRANDE DO NORTE";"16055";"AFONSO BEZERRA";"18";"5";"Senador";"9841";"33";"0";"9841";"33";"7983";"1858";"N";"7983";"6987";"6987";"6987";"0";"";"";"0";"";"";"0";"";"";"345";"651";"651";"0";"0";"00:10:35";"03/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"RN";"RN";"RIO GRANDE DO NORTE";"16055";"AFONSO BEZERRA";"18";"6";"Deputado Federal";"9841";"33";"0";"9841";"33";"7983";"1858";"N";"7983";"7501";"7501";"7121";"380";"";"";"0";"";"";"0";"";"";"293";"189";"189";"0";"0";"09:12:08";"14/10/2022"
