"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"NR_TURNO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"TP_ABRANGENCIA";"SG_UF";"SG_UE";"NM_UE";"CD_MUNICIPIO";"NM_MUNICIPIO";"NR_ZONA";"CD_CARGO";"DS_CARGO";"QT_APTOS";"QT_SECOES";"QT_SECOES_AGREGADAS";"QT_APTOS_TOT";"QT_SECOES_TOT";"QT_COMPARECIMENTO";"QT_ABSTENCOES";"ST_VOTO_EM_TRANSITO";"QT_VOTOS";"QT_VOTOS_CONCORRENTES";"QT_VOTOS_VALIDOS";"QT_VOTOS_NOMINAIS_VALIDOS";"QT_TOTAL_VOTOS_LEG_VALIDOS";"QT_VOTOS_LEGENDA_VALIDOS";"QT_VOTOS_NOMINAIS_CONVR_LEG";"QT_TOTAL_VOTOS_ANULADOS";"QT_VOTOS_NOMINAIS_ANULADOS";"QT_VOTOS_LEGENDA_ANULADOS";"QT_TOTAL_VOTOS_ANUL_SUBJUD";"QT_VOTOS_NOMINAIS_ANUL_SUBJUD";"QT_VOTOS_LEGENDA_ANUL_SUBJUD";"QT_VOTOS_BRANCOS";"QT_TOTAL_VOTOS_NULOS";"QT_VOTOS_NULOS";"QT_VOTOS_NULO_TECNICO";"QT_VOTOS_ANULADOS_APU_SEP";"HH_ULTIMA_TOTALIZACAO";"DT_ULTIMA_TOTALIZACAO"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"RO";"RO";"RONDÔNIA";"00019";"GUAJARÁ-MIRIM";"1";"3";"Governador";"28155";"104";"26";"28155";"104";"20947";"7208";"N";"20947";"19398";"19398";"19398";"0";"";"";"0";"";"";"0";"";"";"604";"945";"945";"0";"0";"21:12:35";"02/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"RO";"RO";"RONDÔNIA";"00019";"GUAJARÁ-MIRIM";"1";"5";"Senador";"28155";"104";"26";"28155";"104";"20947";"7208";"N";"20947";"19149";"16997";"16997";"0";"";"";"0";"";"";"2152";"";"";"825";"973";"973";"0";"0";"21:12:35";"02/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"RO";"RO";"RONDÔNIA";"00019";"GUAJARÁ-MIRIM";"1";"6";"Deputado Federal";"28155";"104";"26";"28155";"104";"20947";"7208";"N";"20947";"20061";"20013";"19508";"505";"";"";"0";"";"";"48";"";"";"547";"339";"339";"0";"0";"15:05:09";"10/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"RO";"RO";"RONDÔNIA";"00019";"GUAJARÁ-MIRIM";"1";"7";"Deputado Estadual";"28155";"104";"26";"28155";"104";"20947";"7208";"N";"20947";"20277";"19816";"19016";"800";"";"";"0";"";"";"461";"";"";"401";"269";"266";"3";"0";"15:05:09";"10/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"RO";"RO";"RONDÔNIA";"00035";"PORTO VELHO";"2";"3";"Governador";"104635";"346";"34";"104635";"346";"83847";"20788";"N";"83847";"77206";"77206";"77206";"0";"";"";"0";"";"";"0";"";"";"2615";"4026";"4026";"0";"0";"20:09:34";"02/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"RO";"RO";"RONDÔNIA";"00035";"PORTO VELHO";"2";"5";"Senador";"104635";"346";"34";"104635";"346";"83847";"20788";"N";"83847";"71829";"66070";"66070";"0";"";"";"0";"";"";"5759";"";"";"5627";"6391";"6391";"0";"0";"20:09:34";"02/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"RO";"RO";"RONDÔNIA";"00035";"PORTO VELHO";"2";"6";"Deputado Federal";"104635";"346";"34";"104635";"346";"83847";"20788";"N";"83847";"77563";"77556";"75358";"2198";"";"";"0";"";"";"7";"";"";"3587";"2697";"2677";"20";"0";"15:05:09";"10/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"RO";"RO";"RONDÔNIA";"00035";"PORTO VELHO";"2";"7";"Deputado Estadual";"104635";"346";"34";"104635";"346";"83847";"20788";"N";"83847";"77911";"76406";"73306";"3100";"";"";"0";"";"";"1505";"";"";"3440";"2496";"2426";"70";"0";"15:05:09";"10/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"RO";"RO";"RONDÔNIA";"00035";"PORTO VELHO";"6";"3";"Governador";"87500";"297";"29";"87500";"297";"68003";"19497";"N";"68003";"61980";"61980";"61980";"0";"";"";"0";"";"";"0";"";"";"2419";"3604";"3604";"0";"0";"20:09:34";"02/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"RO";"RO";"RONDÔNIA";"00035";"PORTO VELHO";"6";"5";"Senador";"87500";"297";"29";"87500";"297";"68003";"19497";"N";"68003";"58559";"54041";"54041";"0";"";"";"0";"";"";"4518";"";"";"4404";"5040";"5040";"0";"0";"20:09:34";"02/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"RO";"RO";"RONDÔNIA";"00035";"PORTO VELHO";"6";"6";"Deputado Federal";"87500";"297";"29";"87500";"297";"68003";"19497";"N";"68003";"63184";"63183";"60867";"2316";"";"";"0";"";"";"1";"";"";"2903";"1916";"1903";"13";"0";"15:05:09";"10/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"RO";"RO";"RONDÔNIA";"00035";"PORTO VELHO";"6";"7";"Deputado Estadual";"87500";"297";"29";"87500";"297";"68003";"19497";"N";"68003";"63525";"62428";"59161";"3267";"";"";"0";"";"";"1097";"";"";"2750";"1728";"1700";"28";"0";"15:05:09";"10/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"RO";"RO";"RONDÔNIA";"00035";"PORTO VELHO";"20";"3";"Governador";"85512";"286";"25";"85512";"286";"67819";"17693";"N";"67819";"62096";"62096";"62096";"0";"";"";"0";"";"";"0";"";"";"2223";"3500";"3500";"0";"0";"20:09:34";"02/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"RO";"RO";"RONDÔNIA";"00035";"PORTO VELHO";"20";"5";"Senador";"85512";"286";"25";"85512";"286";"67819";"17693";"N";"67819";"57908";"53407";"53407";"0";"";"";"0";"";"";"4501";"";"";"4632";"5279";"5279";"0";"0";"20:09:34";"02/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"RO";"RO";"RONDÔNIA";"00035";"PORTO VELHO";"20";"6";"Deputado Federal";"85512";"286";"25";"85512";"286";"67819";"17693";"N";"67819";"62621";"62618";"60682";"1936";"";"";"0";"";"";"3";"";"";"3002";"2196";"2174";"22";"0";"15:05:09";"10/10/2022"
