"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"NR_TURNO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"TP_ABRANGENCIA";"SG_UF";"SG_UE";"NM_UE";"CD_MUNICIPIO";"NM_MUNICIPIO";"NR_ZONA";"CD_CARGO";"DS_CARGO";"QT_APTOS";"QT_SECOES";"QT_SECOES_AGREGADAS";"QT_APTOS_TOT";"QT_SECOES_TOT";"QT_COMPARECIMENTO";"QT_ABSTENCOES";"ST_VOTO_EM_TRANSITO";"QT_VOTOS";"QT_VOTOS_CONCORRENTES";"QT_VOTOS_VALIDOS";"QT_VOTOS_NOMINAIS_VALIDOS";"QT_TOTAL_VOTOS_LEG_VALIDOS";"QT_VOTOS_LEGENDA_VALIDOS";"QT_VOTOS_NOMINAIS_CONVR_LEG";"QT_TOTAL_VOTOS_ANULADOS";"QT_VOTOS_NOMINAIS_ANULADOS";"QT_VOTOS_LEGENDA_ANULADOS";"QT_TOTAL_VOTOS_ANUL_SUBJUD";"QT_VOTOS_NOMINAIS_ANUL_SUBJUD";"QT_VOTOS_LEGENDA_ANUL_SUBJUD";"QT_VOTOS_BRANCOS";"QT_TOTAL_VOTOS_NULOS";"QT_VOTOS_NULOS";"QT_VOTOS_NULO_TECNICO";"QT_VOTOS_ANULADOS_APU_SEP";"HH_ULTIMA_TOTALIZACAO";"DT_ULTIMA_TOTALIZACAO"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"RR";"RR";"RORAIMA";"03000";"CAROEBE";"4";"3";"Governador";"6482";"26";"1";"6482";"26";"5631";"851";"N";"5631";"5290";"5290";"5290";"0";"";"";"0";"";"";"0";"";"";"48";"293";"293";"0";"0";"19:55:54";"02/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"RR";"RR";"RORAIMA";"03000";"CAROEBE";"4";"5";"Senador";"6482";"26";"1";"6482";"26";"5631";"851";"N";"5631";"4385";"4385";"4385";"0";"";"";"0";"";"";"0";"";"";"120";"1126";"255";"871";"0";"19:55:54";"02/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"RR";"RR";"RORAIMA";"03000";"CAROEBE";"4";"6";"Deputado Federal";"6482";"26";"1";"6482";"26";"5631";"851";"N";"5631";"5456";"5455";"5303";"152";"";"";"0";"";"";"1";"";"";"74";"101";"92";"9";"0";"19:55:54";"02/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"RR";"RR";"RORAIMA";"03000";"CAROEBE";"4";"7";"Deputado Estadual";"6482";"26";"1";"6482";"26";"5631";"851";"N";"5631";"5513";"5512";"5318";"194";"";"";"0";"";"";"1";"";"";"42";"76";"73";"3";"0";"19:55:54";"02/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"RR";"RR";"RORAIMA";"03018";"BOA VISTA";"1";"3";"Governador";"128224";"427";"46";"128224";"427";"108028";"20196";"N";"108028";"103649";"103649";"103649";"0";"";"";"0";"";"";"0";"";"";"1164";"3215";"3215";"0";"0";"21:08:06";"02/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"RR";"RR";"RORAIMA";"03018";"BOA VISTA";"1";"5";"Senador";"128224";"427";"46";"128224";"427";"108028";"20196";"N";"108028";"88403";"88403";"88403";"0";"";"";"0";"";"";"0";"";"";"4183";"15442";"4203";"11239";"0";"21:08:06";"02/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"RR";"RR";"RORAIMA";"03018";"BOA VISTA";"1";"6";"Deputado Federal";"128224";"427";"46";"128224";"427";"108028";"20196";"N";"108028";"102364";"102119";"100204";"1915";"";"";"0";"";"";"245";"";"";"3260";"2404";"2252";"152";"0";"21:08:06";"02/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"RR";"RR";"RORAIMA";"03018";"BOA VISTA";"1";"7";"Deputado Estadual";"128224";"427";"46";"128224";"427";"108028";"20196";"N";"108028";"103872";"103427";"101345";"2082";"";"";"0";"";"";"445";"";"";"2060";"2096";"1697";"399";"0";"21:08:06";"02/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"RR";"RR";"RORAIMA";"03018";"BOA VISTA";"5";"3";"Governador";"103638";"314";"12";"103638";"314";"83788";"19850";"N";"83788";"79520";"79520";"79520";"0";"";"";"0";"";"";"0";"";"";"978";"3290";"3290";"0";"0";"21:08:06";"02/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"RR";"RR";"RORAIMA";"03018";"BOA VISTA";"5";"5";"Senador";"103638";"314";"12";"103638";"314";"83788";"19850";"N";"83788";"68956";"68956";"68956";"0";"";"";"0";"";"";"0";"";"";"3637";"11195";"3553";"7642";"0";"21:08:06";"02/10/2022"
