"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"NR_TURNO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"TP_ABRANGENCIA";"SG_UF";"SG_UE";"NM_UE";"CD_MUNICIPIO";"NM_MUNICIPIO";"NR_ZONA";"CD_CARGO";"DS_CARGO";"QT_APTOS";"QT_SECOES";"QT_SECOES_AGREGADAS";"QT_APTOS_TOT";"QT_SECOES_TOT";"QT_COMPARECIMENTO";"QT_ABSTENCOES";"ST_VOTO_EM_TRANSITO";"QT_VOTOS";"QT_VOTOS_CONCORRENTES";"QT_VOTOS_VALIDOS";"QT_VOTOS_NOMINAIS_VALIDOS";"QT_TOTAL_VOTOS_LEG_VALIDOS";"QT_VOTOS_LEGENDA_VALIDOS";"QT_VOTOS_NOMINAIS_CONVR_LEG";"QT_TOTAL_VOTOS_ANULADOS";"QT_VOTOS_NOMINAIS_ANULADOS";"QT_VOTOS_LEGENDA_ANULADOS";"QT_TOTAL_VOTOS_ANUL_SUBJUD";"QT_VOTOS_NOMINAIS_ANUL_SUBJUD";"QT_VOTOS_LEGENDA_ANUL_SUBJUD";"QT_VOTOS_BRANCOS";"QT_TOTAL_VOTOS_NULOS";"QT_VOTOS_NULOS";"QT_VOTOS_NULO_TECNICO";"QT_VOTOS_ANULADOS_APU_SEP";"HH_ULTIMA_TOTALIZACAO";"DT_ULTIMA_TOTALIZACAO"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"RS";"RS";"RIO GRANDE DO SUL";"84735";"ÁUREA";"3";"3";"Governador";"3104";"11";"0";"3104";"11";"2802";"302";"N";"2802";"2530";"2530";"2530";"0";"";"";"0";"";"";"0";"";"";"193";"79";"79";"0";"0";"19:46:36";"02/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"RS";"RS";"RIO GRANDE DO SUL";"84735";"ÁUREA";"3";"5";"Senador";"3104";"11";"0";"3104";"11";"2802";"302";"N";"2802";"2319";"2319";"2319";"0";"";"";"0";"";"";"0";"";"";"264";"219";"192";"27";"0";"19:46:36";"02/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"RS";"RS";"RIO GRANDE DO SUL";"84735";"ÁUREA";"3";"6";"Deputado Federal";"3104";"11";"0";"3104";"11";"2802";"302";"N";"2802";"2490";"2490";"2412";"78";"";"";"0";"";"";"0";"";"";"248";"64";"60";"4";"0";"19:46:36";"02/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"RS";"RS";"RIO GRANDE DO SUL";"84735";"ÁUREA";"3";"7";"Deputado Estadual";"3104";"11";"0";"3104";"11";"2802";"302";"N";"2802";"2470";"2467";"2269";"198";"";"";"0";"";"";"3";"";"";"266";"66";"64";"2";"0";"19:46:36";"02/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"RS";"RS";"RIO GRANDE DO SUL";"84743";"TRÊS ARROIOS";"20";"3";"Governador";"2456";"8";"0";"2456";"8";"2093";"363";"N";"2093";"1909";"1909";"1909";"0";"";"";"0";"";"";"0";"";"";"108";"76";"76";"0";"0";"19:37:41";"02/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"RS";"RS";"RIO GRANDE DO SUL";"84743";"TRÊS ARROIOS";"20";"5";"Senador";"2456";"8";"0";"2456";"8";"2093";"363";"N";"2093";"1735";"1735";"1735";"0";"";"";"0";"";"";"0";"";"";"164";"194";"177";"17";"0";"19:37:41";"02/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"RS";"RS";"RIO GRANDE DO SUL";"84743";"TRÊS ARROIOS";"20";"6";"Deputado Federal";"2456";"8";"0";"2456";"8";"2093";"363";"N";"2093";"1875";"1875";"1830";"45";"";"";"0";"";"";"0";"";"";"151";"67";"67";"0";"0";"19:37:41";"02/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"RS";"RS";"RIO GRANDE DO SUL";"84743";"TRÊS ARROIOS";"20";"7";"Deputado Estadual";"2456";"8";"0";"2456";"8";"2093";"363";"N";"2093";"1898";"1896";"1770";"126";"";"";"0";"";"";"2";"";"";"133";"62";"62";"0";"0";"19:37:41";"02/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"RS";"RS";"RIO GRANDE DO SUL";"84751";"NOVA ROMA DO SUL";"6";"3";"Governador";"3061";"11";"0";"3061";"11";"2681";"380";"N";"2681";"2496";"2496";"2496";"0";"";"";"0";"";"";"0";"";"";"95";"90";"90";"0";"0";"19:32:12";"02/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"RS";"RS";"RIO GRANDE DO SUL";"84751";"NOVA ROMA DO SUL";"6";"5";"Senador";"3061";"11";"0";"3061";"11";"2681";"380";"N";"2681";"2255";"2255";"2255";"0";"";"";"0";"";"";"0";"";"";"167";"259";"205";"54";"0";"19:32:12";"02/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"RS";"RS";"RIO GRANDE DO SUL";"84751";"NOVA ROMA DO SUL";"6";"6";"Deputado Federal";"3061";"11";"0";"3061";"11";"2681";"380";"N";"2681";"2406";"2406";"2344";"62";"";"";"0";"";"";"0";"";"";"158";"117";"117";"0";"0";"19:32:12";"02/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"RS";"RS";"RIO GRANDE DO SUL";"84751";"NOVA ROMA DO SUL";"6";"7";"Deputado Estadual";"3061";"11";"0";"3061";"11";"2681";"380";"N";"2681";"2421";"2420";"2277";"143";"";"";"0";"";"";"1";"";"";"166";"94";"93";"1";"0";"19:32:12";"02/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"RS";"RS";"RIO GRANDE DO SUL";"84760";"PROGRESSO";"29";"3";"Governador";"4933";"24";"1";"4933";"24";"4326";"607";"N";"4326";"4052";"4052";"4052";"0";"";"";"0";"";"";"0";"";"";"200";"74";"74";"0";"0";"19:59:11";"02/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"RS";"RS";"RIO GRANDE DO SUL";"84760";"PROGRESSO";"29";"5";"Senador";"4933";"24";"1";"4933";"24";"4326";"607";"N";"4326";"3664";"3664";"3664";"0";"";"";"0";"";"";"0";"";"";"317";"345";"222";"123";"0";"19:59:11";"02/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"RS";"RS";"RIO GRANDE DO SUL";"84760";"PROGRESSO";"29";"6";"Deputado Federal";"4933";"24";"1";"4933";"24";"4326";"607";"N";"4326";"4036";"4036";"3912";"124";"";"";"0";"";"";"0";"";"";"224";"66";"66";"0";"0";"19:59:11";"02/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"RS";"RS";"RIO GRANDE DO SUL";"84760";"PROGRESSO";"29";"7";"Deputado Estadual";"4933";"24";"1";"4933";"24";"4326";"607";"N";"4326";"4012";"4011";"3744";"267";"";"";"0";"";"";"1";"";"";"257";"57";"57";"0";"0";"19:59:11";"02/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"RS";"RS";"RIO GRANDE DO SUL";"84778";"PIRAPÓ";"52";"3";"Governador";"2285";"11";"0";"2285";"11";"1712";"573";"N";"1712";"1585";"1585";"1585";"0";"";"";"0";"";"";"0";"";"";"68";"59";"59";"0";"0";"19:57:13";"02/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"RS";"RS";"RIO GRANDE DO SUL";"84778";"PIRAPÓ";"52";"5";"Senador";"2285";"11";"0";"2285";"11";"1712";"573";"N";"1712";"1437";"1437";"1437";"0";"";"";"0";"";"";"0";"";"";"118";"157";"92";"65";"0";"19:57:13";"02/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"RS";"RS";"RIO GRANDE DO SUL";"84778";"PIRAPÓ";"52";"6";"Deputado Federal";"2285";"11";"0";"2285";"11";"1712";"573";"N";"1712";"1602";"1600";"1521";"79";"";"";"0";"";"";"2";"";"";"90";"20";"20";"0";"0";"19:57:13";"02/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"RS";"RS";"RIO GRANDE DO SUL";"84778";"PIRAPÓ";"52";"7";"Deputado Estadual";"2285";"11";"0";"2285";"11";"1712";"573";"N";"1712";"1581";"1577";"1428";"149";"";"";"0";"";"";"4";"";"";"109";"22";"22";"0";"0";"19:57:13";"02/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"RS";"RS";"RIO GRANDE DO SUL";"84786";"JABOTICABA";"64";"3";"Governador";"3238";"13";"0";"3238";"13";"2673";"565";"N";"2673";"2563";"2563";"2563";"0";"";"";"0";"";"";"0";"";"";"70";"40";"40";"0";"0";"19:04:33";"02/10/2022"
