"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"NR_TURNO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"TP_ABRANGENCIA";"SG_UF";"SG_UE";"NM_UE";"CD_MUNICIPIO";"NM_MUNICIPIO";"NR_ZONA";"CD_CARGO";"DS_CARGO";"QT_APTOS";"QT_SECOES";"QT_SECOES_AGREGADAS";"QT_APTOS_TOT";"QT_SECOES_TOT";"QT_COMPARECIMENTO";"QT_ABSTENCOES";"ST_VOTO_EM_TRANSITO";"QT_VOTOS";"QT_VOTOS_CONCORRENTES";"QT_VOTOS_VALIDOS";"QT_VOTOS_NOMINAIS_VALIDOS";"QT_TOTAL_VOTOS_LEG_VALIDOS";"QT_VOTOS_LEGENDA_VALIDOS";"QT_VOTOS_NOMINAIS_CONVR_LEG";"QT_TOTAL_VOTOS_ANULADOS";"QT_VOTOS_NOMINAIS_ANULADOS";"QT_VOTOS_LEGENDA_ANULADOS";"QT_TOTAL_VOTOS_ANUL_SUBJUD";"QT_VOTOS_NOMINAIS_ANUL_SUBJUD";"QT_VOTOS_LEGENDA_ANUL_SUBJUD";"QT_VOTOS_BRANCOS";"QT_TOTAL_VOTOS_NULOS";"QT_VOTOS_NULOS";"QT_VOTOS_NULO_TECNICO";"QT_VOTOS_ANULADOS_APU_SEP";"HH_ULTIMA_TOTALIZACAO";"DT_ULTIMA_TOTALIZACAO"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"SC";"SC";"SANTA CATARINA";"80004";"MONTE CARLO";"77";"3";"Governador";"7150";"22";"2";"7150";"22";"5605";"1545";"N";"5605";"4941";"4941";"4941";"0";"";"";"0";"";"";"0";"";"";"477";"187";"187";"0";"0";"20:14:27";"02/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"SC";"SC";"SANTA CATARINA";"80004";"MONTE CARLO";"77";"5";"Senador";"7150";"22";"2";"7150";"22";"5605";"1545";"N";"5605";"4412";"4412";"4412";"0";"";"";"0";"";"";"0";"";"";"697";"496";"496";"0";"0";"20:14:27";"02/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"SC";"SC";"SANTA CATARINA";"80004";"MONTE CARLO";"77";"6";"Deputado Federal";"7150";"22";"2";"7150";"22";"5605";"1545";"N";"5605";"4912";"4911";"4606";"305";"";"";"0";"";"";"1";"";"";"581";"112";"109";"3";"0";"20:14:27";"02/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"SC";"SC";"SANTA CATARINA";"80004";"MONTE CARLO";"77";"7";"Deputado Estadual";"7150";"22";"2";"7150";"22";"5605";"1545";"N";"5605";"5000";"4999";"4553";"446";"";"";"0";"";"";"1";"";"";"516";"89";"89";"0";"0";"20:14:27";"02/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"SC";"SC";"SANTA CATARINA";"80012";"ABELARDO LUZ";"71";"3";"Governador";"12788";"40";"4";"12788";"40";"9693";"3095";"N";"9693";"8892";"8892";"8892";"0";"";"";"0";"";"";"0";"";"";"542";"259";"259";"0";"0";"19:41:39";"02/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"SC";"SC";"SANTA CATARINA";"80012";"ABELARDO LUZ";"71";"6";"Deputado Federal";"12788";"40";"4";"12788";"40";"9693";"3095";"N";"9693";"8728";"8725";"8286";"439";"";"";"0";"";"";"3";"";"";"771";"194";"193";"1";"0";"19:41:39";"02/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"SC";"SC";"SANTA CATARINA";"80012";"ABELARDO LUZ";"71";"7";"Deputado Estadual";"12788";"40";"4";"12788";"40";"9693";"3095";"N";"9693";"9010";"9006";"8380";"626";"";"";"0";"";"";"4";"";"";"537";"146";"143";"3";"0";"19:41:39";"02/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"SC";"SC";"SANTA CATARINA";"80020";"IPORÃ DO OESTE";"65";"3";"Governador";"7272";"29";"1";"7272";"29";"6193";"1079";"N";"6193";"5659";"5659";"5659";"0";"";"";"0";"";"";"0";"";"";"303";"231";"231";"0";"0";"19:41:29";"02/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"SC";"SC";"SANTA CATARINA";"80020";"IPORÃ DO OESTE";"65";"5";"Senador";"7272";"29";"1";"7272";"29";"6193";"1079";"N";"6193";"5139";"5139";"5139";"0";"";"";"0";"";"";"0";"";"";"511";"543";"541";"2";"0";"19:41:29";"02/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"SC";"SC";"SANTA CATARINA";"80020";"IPORÃ DO OESTE";"65";"6";"Deputado Federal";"7272";"29";"1";"7272";"29";"6193";"1079";"N";"6193";"5653";"5612";"5497";"115";"";"";"0";"";"";"41";"";"";"364";"176";"176";"0";"0";"19:41:29";"02/10/2022"
