"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"NR_TURNO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"TP_ABRANGENCIA";"SG_UF";"SG_UE";"NM_UE";"CD_MUNICIPIO";"NM_MUNICIPIO";"NR_ZONA";"CD_CARGO";"DS_CARGO";"QT_APTOS";"QT_SECOES";"QT_SECOES_AGREGADAS";"QT_APTOS_TOT";"QT_SECOES_TOT";"QT_COMPARECIMENTO";"QT_ABSTENCOES";"ST_VOTO_EM_TRANSITO";"QT_VOTOS";"QT_VOTOS_CONCORRENTES";"QT_VOTOS_VALIDOS";"QT_VOTOS_NOMINAIS_VALIDOS";"QT_TOTAL_VOTOS_LEG_VALIDOS";"QT_VOTOS_LEGENDA_VALIDOS";"QT_VOTOS_NOMINAIS_CONVR_LEG";"QT_TOTAL_VOTOS_ANULADOS";"QT_VOTOS_NOMINAIS_ANULADOS";"QT_VOTOS_LEGENDA_ANULADOS";"QT_TOTAL_VOTOS_ANUL_SUBJUD";"QT_VOTOS_NOMINAIS_ANUL_SUBJUD";"QT_VOTOS_LEGENDA_ANUL_SUBJUD";"QT_VOTOS_BRANCOS";"QT_TOTAL_VOTOS_NULOS";"QT_VOTOS_NULOS";"QT_VOTOS_NULO_TECNICO";"QT_VOTOS_ANULADOS_APU_SEP";"HH_ULTIMA_TOTALIZACAO";"DT_ULTIMA_TOTALIZACAO"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"SE";"SE";"SERGIPE";"31003";"SANTANA DO SÃO FRANCISCO";"15";"3";"Governador";"5923";"20";"4";"5923";"20";"4598";"1325";"N";"4598";"2893";"2893";"2893";"0";"";"";"0";"";"";"0";"";"";"196";"1509";"209";"1300";"0";"19:07:09";"02/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"SE";"SE";"SERGIPE";"31003";"SANTANA DO SÃO FRANCISCO";"15";"5";"Senador";"5923";"20";"4";"5923";"20";"4598";"1325";"N";"4598";"3783";"3783";"3783";"0";"";"";"0";"";"";"0";"";"";"350";"465";"465";"0";"0";"19:07:09";"02/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"SE";"SE";"SERGIPE";"31003";"SANTANA DO SÃO FRANCISCO";"15";"6";"Deputado Federal";"5923";"20";"4";"5923";"20";"4598";"1325";"N";"4598";"4093";"4020";"3892";"128";"";"";"0";"";"";"73";"";"";"275";"230";"228";"2";"0";"19:07:09";"02/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"SE";"SE";"SERGIPE";"31003";"SANTANA DO SÃO FRANCISCO";"15";"7";"Deputado Estadual";"5923";"20";"4";"5923";"20";"4598";"1325";"N";"4598";"4169";"4169";"3941";"228";"";"";"0";"";"";"0";"";"";"244";"185";"185";"0";"0";"19:07:09";"02/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"SE";"SE";"SERGIPE";"31011";"AMPARO DE SÃO FRANCISCO";"19";"3";"Governador";"2679";"9";"1";"2679";"9";"2231";"448";"N";"2231";"1657";"1657";"1657";"0";"";"";"0";"";"";"0";"";"";"80";"494";"85";"409";"0";"20:01:14";"02/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"SE";"SE";"SERGIPE";"31011";"AMPARO DE SÃO FRANCISCO";"19";"5";"Senador";"2679";"9";"1";"2679";"9";"2231";"448";"N";"2231";"1906";"1906";"1906";"0";"";"";"0";"";"";"0";"";"";"132";"193";"193";"0";"0";"20:01:14";"02/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"SE";"SE";"SERGIPE";"31011";"AMPARO DE SÃO FRANCISCO";"19";"6";"Deputado Federal";"2679";"9";"1";"2679";"9";"2231";"448";"N";"2231";"2090";"2051";"2010";"41";"";"";"0";"";"";"39";"";"";"76";"65";"65";"0";"0";"20:01:14";"02/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"SE";"SE";"SERGIPE";"31011";"AMPARO DE SÃO FRANCISCO";"19";"7";"Deputado Estadual";"2679";"9";"1";"2679";"9";"2231";"448";"N";"2231";"2129";"2129";"2049";"80";"";"";"0";"";"";"0";"";"";"58";"44";"44";"0";"0";"20:01:14";"02/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"SE";"SE";"SERGIPE";"31038";"AQUIDABÃ";"3";"3";"Governador";"16720";"63";"5";"16720";"63";"13444";"3276";"N";"13444";"8363";"8363";"8363";"0";"";"";"0";"";"";"0";"";"";"522";"4559";"808";"3751";"0";"21:08:08";"02/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"SE";"SE";"SERGIPE";"31038";"AQUIDABÃ";"3";"5";"Senador";"16720";"63";"5";"16720";"63";"13444";"3276";"N";"13444";"10940";"10940";"10940";"0";"";"";"0";"";"";"0";"";"";"842";"1662";"1662";"0";"0";"21:08:08";"02/10/2022"
