"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"NR_TURNO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"TP_ABRANGENCIA";"SG_UF";"SG_UE";"NM_UE";"CD_MUNICIPIO";"NM_MUNICIPIO";"NR_ZONA";"CD_CARGO";"DS_CARGO";"QT_APTOS";"QT_SECOES";"QT_SECOES_AGREGADAS";"QT_APTOS_TOT";"QT_SECOES_TOT";"QT_COMPARECIMENTO";"QT_ABSTENCOES";"ST_VOTO_EM_TRANSITO";"QT_VOTOS";"QT_VOTOS_CONCORRENTES";"QT_VOTOS_VALIDOS";"QT_VOTOS_NOMINAIS_VALIDOS";"QT_TOTAL_VOTOS_LEG_VALIDOS";"QT_VOTOS_LEGENDA_VALIDOS";"QT_VOTOS_NOMINAIS_CONVR_LEG";"QT_TOTAL_VOTOS_ANULADOS";"QT_VOTOS_NOMINAIS_ANULADOS";"QT_VOTOS_LEGENDA_ANULADOS";"QT_TOTAL_VOTOS_ANUL_SUBJUD";"QT_VOTOS_NOMINAIS_ANUL_SUBJUD";"QT_VOTOS_LEGENDA_ANUL_SUBJUD";"QT_VOTOS_BRANCOS";"QT_TOTAL_VOTOS_NULOS";"QT_VOTOS_NULOS";"QT_VOTOS_NULO_TECNICO";"QT_VOTOS_ANULADOS_APU_SEP";"HH_ULTIMA_TOTALIZACAO";"DT_ULTIMA_TOTALIZACAO"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"SP";"SP";"SÃO PAULO";"61000";"EUCLIDES DA CUNHA PAULISTA";"330";"3";"Governador";"7114";"21";"0";"7114";"21";"4804";"2310";"N";"4804";"4448";"4448";"4448";"0";"";"";"0";"";"";"0";"";"";"131";"225";"225";"0";"0";"18:53:20";"02/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"SP";"SP";"SÃO PAULO";"61000";"EUCLIDES DA CUNHA PAULISTA";"330";"5";"Senador";"7114";"21";"0";"7114";"21";"4804";"2310";"N";"4804";"4170";"4170";"4170";"0";"";"";"0";"";"";"0";"";"";"224";"410";"410";"0";"0";"18:53:20";"02/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"SP";"SP";"SÃO PAULO";"61000";"EUCLIDES DA CUNHA PAULISTA";"330";"6";"Deputado Federal";"7114";"21";"0";"7114";"21";"4804";"2310";"N";"4804";"4561";"4559";"4428";"131";"";"";"0";"";"";"2";"";"";"154";"89";"89";"0";"0";"12:33:06";"14/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"SP";"SP";"SÃO PAULO";"61000";"EUCLIDES DA CUNHA PAULISTA";"330";"7";"Deputado Estadual";"7114";"21";"0";"7114";"21";"4804";"2310";"N";"4804";"4541";"4536";"4148";"388";"";"";"0";"";"";"5";"";"";"176";"87";"87";"0";"0";"12:33:06";"14/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"SP";"SP";"SÃO PAULO";"61018";"ADAMANTINA";"157";"3";"Governador";"27635";"83";"0";"27635";"83";"20642";"6993";"N";"20642";"18091";"18091";"18091";"0";"";"";"0";"";"";"0";"";"";"1286";"1265";"1265";"0";"0";"19:24:30";"02/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"SP";"SP";"SÃO PAULO";"61018";"ADAMANTINA";"157";"5";"Senador";"27635";"83";"0";"27635";"83";"20642";"6993";"N";"20642";"17225";"17218";"17218";"0";"";"";"0";"";"";"7";"";"";"1895";"1522";"1522";"0";"0";"19:24:30";"02/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"SP";"SP";"SÃO PAULO";"61018";"ADAMANTINA";"157";"6";"Deputado Federal";"27635";"83";"0";"27635";"83";"20642";"6993";"N";"20642";"18188";"18121";"17643";"478";"";"";"2";"";"";"65";"";"";"1692";"762";"758";"4";"0";"12:33:43";"14/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"SP";"SP";"SÃO PAULO";"61018";"ADAMANTINA";"157";"7";"Deputado Estadual";"27635";"83";"0";"27635";"83";"20642";"6993";"N";"20642";"18088";"18073";"16988";"1085";"";"";"0";"";"";"15";"";"";"1805";"749";"746";"3";"0";"12:33:43";"14/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"SP";"SP";"SÃO PAULO";"61026";"BOREBI";"161";"3";"Governador";"2222";"8";"0";"2222";"8";"1742";"480";"N";"1742";"1563";"1563";"1563";"0";"";"";"0";"";"";"0";"";"";"81";"98";"98";"0";"0";"19:18:55";"02/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"SP";"SP";"SÃO PAULO";"61026";"BOREBI";"161";"5";"Senador";"2222";"8";"0";"2222";"8";"1742";"480";"N";"1742";"1454";"1454";"1454";"0";"";"";"0";"";"";"0";"";"";"114";"174";"174";"0";"0";"19:18:55";"02/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"SP";"SP";"SÃO PAULO";"61026";"BOREBI";"161";"6";"Deputado Federal";"2222";"8";"0";"2222";"8";"1742";"480";"N";"1742";"1608";"1602";"1559";"43";"";"";"0";"";"";"6";"";"";"90";"44";"43";"1";"0";"12:33:11";"14/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"SP";"SP";"SÃO PAULO";"61026";"BOREBI";"161";"7";"Deputado Estadual";"2222";"8";"0";"2222";"8";"1742";"480";"N";"1742";"1581";"1579";"1460";"119";"";"";"0";"";"";"2";"";"";"110";"51";"51";"0";"0";"12:33:11";"14/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"SP";"SP";"SÃO PAULO";"61034";"ADOLFO";"64";"3";"Governador";"4298";"14";"0";"4298";"14";"3229";"1069";"N";"3229";"2890";"2890";"2890";"0";"";"";"0";"";"";"0";"";"";"146";"193";"193";"0";"0";"19:27:51";"02/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"SP";"SP";"SÃO PAULO";"61034";"ADOLFO";"64";"5";"Senador";"4298";"14";"0";"4298";"14";"3229";"1069";"N";"3229";"2758";"2758";"2758";"0";"";"";"0";"";"";"0";"";"";"238";"233";"233";"0";"0";"19:27:51";"02/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"SP";"SP";"SÃO PAULO";"61034";"ADOLFO";"64";"6";"Deputado Federal";"4298";"14";"0";"4298";"14";"3229";"1069";"N";"3229";"2942";"2924";"2862";"62";"";"";"0";"";"";"18";"";"";"178";"109";"109";"0";"0";"12:35:11";"14/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"SP";"SP";"SÃO PAULO";"61034";"ADOLFO";"64";"7";"Deputado Estadual";"4298";"14";"0";"4298";"14";"3229";"1069";"N";"3229";"2906";"2903";"2711";"192";"";"";"0";"";"";"3";"";"";"203";"120";"119";"1";"0";"12:35:11";"14/10/2022"
