"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"NR_TURNO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"TP_ABRANGENCIA";"SG_UF";"SG_UE";"NM_UE";"CD_MUNICIPIO";"NM_MUNICIPIO";"NR_ZONA";"CD_CARGO";"DS_CARGO";"QT_APTOS";"QT_SECOES";"QT_SECOES_AGREGADAS";"QT_APTOS_TOT";"QT_SECOES_TOT";"QT_COMPARECIMENTO";"QT_ABSTENCOES";"ST_VOTO_EM_TRANSITO";"QT_VOTOS";"QT_VOTOS_CONCORRENTES";"QT_VOTOS_VALIDOS";"QT_VOTOS_NOMINAIS_VALIDOS";"QT_TOTAL_VOTOS_LEG_VALIDOS";"QT_VOTOS_LEGENDA_VALIDOS";"QT_VOTOS_NOMINAIS_CONVR_LEG";"QT_TOTAL_VOTOS_ANULADOS";"QT_VOTOS_NOMINAIS_ANULADOS";"QT_VOTOS_LEGENDA_ANULADOS";"QT_TOTAL_VOTOS_ANUL_SUBJUD";"QT_VOTOS_NOMINAIS_ANUL_SUBJUD";"QT_VOTOS_LEGENDA_ANUL_SUBJUD";"QT_VOTOS_BRANCOS";"QT_TOTAL_VOTOS_NULOS";"QT_VOTOS_NULOS";"QT_VOTOS_NULO_TECNICO";"QT_VOTOS_ANULADOS_APU_SEP";"HH_ULTIMA_TOTALIZACAO";"DT_ULTIMA_TOTALIZACAO"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"TO";"TO";"TOCANTINS";"73008";"ABREULÂNDIA";"7";"3";"Governador";"2339";"8";"0";"2339";"8";"1899";"440";"N";"1899";"1818";"1818";"1818";"0";"";"";"0";"";"";"0";"";"";"25";"56";"56";"0";"0";"13:01:42";"17/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"TO";"TO";"TOCANTINS";"73008";"ABREULÂNDIA";"7";"5";"Senador";"2339";"8";"0";"2339";"8";"1899";"440";"N";"1899";"1731";"1731";"1731";"0";"";"";"0";"";"";"0";"";"";"37";"131";"131";"0";"0";"13:01:42";"17/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"TO";"TO";"TOCANTINS";"73008";"ABREULÂNDIA";"7";"6";"Deputado Federal";"2339";"8";"0";"2339";"8";"1899";"440";"N";"1899";"1849";"1849";"1773";"76";"";"";"0";"";"";"0";"";"";"33";"17";"17";"0";"0";"13:01:42";"17/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"TO";"TO";"TOCANTINS";"73008";"ABREULÂNDIA";"7";"7";"Deputado Estadual";"2339";"8";"0";"2339";"8";"1899";"440";"N";"1899";"1848";"1843";"1738";"105";"";"";"5";"";"";"0";"";"";"20";"31";"31";"0";"0";"13:01:42";"17/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"TO";"TO";"TOCANTINS";"73016";"PIRAQUÊ";"27";"3";"Governador";"2189";"9";"3";"2189";"9";"1801";"388";"N";"1801";"1708";"1708";"1708";"0";"";"";"0";"";"";"0";"";"";"21";"72";"72";"0";"0";"13:01:48";"17/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"TO";"TO";"TOCANTINS";"73016";"PIRAQUÊ";"27";"5";"Senador";"2189";"9";"3";"2189";"9";"1801";"388";"N";"1801";"1629";"1629";"1629";"0";"";"";"0";"";"";"0";"";"";"42";"130";"130";"0";"0";"13:01:48";"17/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"TO";"TO";"TOCANTINS";"73016";"PIRAQUÊ";"27";"6";"Deputado Federal";"2189";"9";"3";"2189";"9";"1801";"388";"N";"1801";"1730";"1730";"1652";"78";"";"";"0";"";"";"0";"";"";"28";"43";"43";"0";"0";"13:01:48";"17/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"TO";"TO";"TOCANTINS";"73016";"PIRAQUÊ";"27";"7";"Deputado Estadual";"2189";"9";"3";"2189";"9";"1801";"388";"N";"1801";"1711";"1709";"1624";"85";"";"";"2";"";"";"0";"";"";"19";"71";"71";"0";"0";"13:01:48";"17/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"TO";"TO";"TOCANTINS";"73024";"RIACHINHO";"27";"3";"Governador";"3605";"16";"0";"3605";"16";"2911";"694";"N";"2911";"2815";"2815";"2815";"0";"";"";"0";"";"";"0";"";"";"30";"66";"66";"0";"0";"13:01:49";"17/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"TO";"TO";"TOCANTINS";"73024";"RIACHINHO";"27";"5";"Senador";"3605";"16";"0";"3605";"16";"2911";"694";"N";"2911";"2707";"2707";"2707";"0";"";"";"0";"";"";"0";"";"";"49";"155";"155";"0";"0";"13:01:49";"17/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"TO";"TO";"TOCANTINS";"73024";"RIACHINHO";"27";"6";"Deputado Federal";"3605";"16";"0";"3605";"16";"2911";"694";"N";"2911";"2849";"2848";"2769";"79";"";"";"1";"";"";"0";"";"";"25";"37";"36";"1";"0";"13:01:49";"17/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"TO";"TO";"TOCANTINS";"73024";"RIACHINHO";"27";"7";"Deputado Estadual";"3605";"16";"0";"3605";"16";"2911";"694";"N";"2911";"2831";"2829";"2711";"118";"";"";"2";"";"";"0";"";"";"22";"58";"58";"0";"0";"13:01:49";"17/10/2022"
"31/10/2022";"06:29:22";"2022";"2";"Eleição Ordinária";"1";"546";"ELEIÇÕES GERAIS ESTADUAIS 2022";"02/10/2022";"E";"TO";"TO";"TOCANTINS";"73032";"DARCINÓPOLIS";"27";"3";"Governador";"4105";"15";"0";"4105";"15";"3303";"802";"N";"3303";"3136";"3136";"3136";"0";"";"";"0";"";"";"0";"";"";"57";"110";"110";"0";"0";"13:01:43";"17/10/2022"
